## 一、命中（按业务匹配强度从高到低）

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 4 | 宁波容百高镍材料股份有限公司 | 横向 | 生产 NCM811 及以上高镍三元正极材料，配套烧结与包覆工艺，直接供货国内外动力电池厂，与买家需求完全对口 | 用户未提具体条件 |
| 43 | 天津巴莫钴酸锂材料有限公司 | 横向 | 主营 NCM、NCA 三元材料与钴酸锂产品；三元材料车用体系正在导入验证阶段，尚未形成规模出货，业务方向对口但量产成熟度需关注 | 用户未提具体条件 |
| 25 | 贵州振华三元前驱体材料有限公司 | 纵向 | 生产镍钴锰氢氧化物前驱体，覆盖 5 系、6 系及 8 系高镍型号，是三元正极材料的直接上游原料，已通过多家正极厂商认证并批量供货 | 用户未提具体条件 |
| 128 | 广东邦普再生资源循环有限公司 | 纵向 | 从事退役动力电池回收与镍钴锂再生冶炼，再生材料可直接返供正极前驱体环节，与三元正极产业链形成闭环 | 用户未提具体条件 |
| 1 | 江西宜春锂云母矿业股份有限公司 | 纵向 | 锂云母采选及碳酸锂加工，产品主要供应正极材料厂商，是三元正极更上游的锂盐环节 | 用户未提具体条件 |
| 65 | 青海盐湖锂业开发有限公司 | 纵向 | 以盐湖卤水为原料提锂，年产电池级碳酸锂 1.2 万吨，同为三元正极更上游的锂盐环节 | 用户未提具体条件 |

## 二、可能相关，但需要确认

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 54 | 湖南裕能新型正极材料有限公司 | 横向 | 做的是磷酸铁锂正极材料，技术路线与三元不同；若买家也考虑扩展正极产品线或磷酸铁锂布局则值得看，但严格来说不是三元方向 | 用户未提具体条件 |
| 191 | 广州坤瑞新材料实业有限公司 | 相邻 | 做工业胶粘剂与密封材料，在动力电池结构胶方向已批量供货；不是正极材料，但同属动力电池产业链，若买家有意延伸至辅材领域可关注 | 用户未提具体条件 |

## 三、信息不足，无法判断

| 行号 | 标的名称 |
|---|---|
| 22 | 南昌新翔鞋业股份有限公司 |
| 23 | 唐山昌源软件集团有限公司 |
| 37 | 唐山泰宏教育信息有限公司 |
| 46 | 东莞立轩化工股份有限公司 |
| 58 | 南京博冠连接器科技有限公司 |
| 61 | 苏州源盛管业科技有限公司 |
| 67 | 上海隆博新材料集团有限公司 |
| 68 | 石家庄恒坤食品实业有限公司 |
| 99 | 中山博立生物科技实业有限公司 |
| 119 | 常州新翔管业股份有限公司 |
| 123 | 苏州昆仑半导体材料有限公司 |
| 140 | 成都科远微电子实业有限公司 |
| 171 | 惠州昱远气体股份有限公司 |
| 179 | 大连博轩再生资源股份公司 |
| 186 | 天津创捷教育集团有限公司 |
| 197 | 泉州博立鞋业实业有限公司 |
| 199 | 合肥晟百汽车系统科技有限公司 |

## 四、一句话总结

命中 6 家：2 家直接做三元正极材料（横向），4 家处于三元正极产业链上游或循环环节（纵向）。库里直接做 NCM/NCA 正极的标的仅 2 家，前驱体 1 家，上游锂盐 2 家，电池回收 1 家，三元正极方向的标的密度偏低，尤其是中高端高镍量产能力强的标的较为稀缺。

{"hit":[4,43,25,128,1,65],"maybe":[54,191],"insufficient":[22,23,37,46,58,61,67,68,99,119,123,140,171,179,186,197,199],"checked":200}
