## 一、命中（按业务匹配强度从高到低）

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 4 | 宁波容百高镍材料股份有限公司 | 横向 | 直接生产 NCM811 及以上高镍三元正极材料，配套烧结与包覆工艺，已供货国内外动力电池厂——与买家需求完全对口。 | 营收 41 亿 / 净利 1.9 亿 / 已上市 |
| 43 | 天津巴莫钴酸锂材料有限公司 | 横向 | 主营 NCM、NCA 三元材料与钴酸锂，三元材料车用体系正在导入验证阶段，尚未规模出货——业务方向对口但车用三元尚在爬坡。 | 营收 19 亿 / 净利 9500 万 / 未上市 |
| 25 | 贵州振华三元前驱体材料有限公司 | 纵向 | 生产镍钴锰氢氧化物前驱体，是三元正极材料的直接上游原料，覆盖 5/6/8 系高镍型号，已通过多家正极厂商认证并批量供货。 | 营收 6.1 亿 / 净利 4100 万 / 未上市 |
| 128 | 广东邦普再生资源循环有限公司 | 纵向 | 退役动力电池回收与镍钴锂再生冶炼，再生材料可直接返供正极前驱体环节——是三元正极材料产业链的循环上游。 | 营收 7.3 亿 / 净利 6800 万 / 未上市 |
| 1 | 江西宜春锂云母矿业股份有限公司 | 纵向 | 锂云母采选及碳酸锂加工，产品主要供应正极材料厂商——碳酸锂是三元正极材料的核心原料，属更上游环节。 | 营收 15.2 亿 / 净利 1.8 亿 / 已上市 |
| 65 | 青海盐湖锂业开发有限公司 | 纵向 | 以盐湖卤水为原料提锂，年产电池级碳酸锂 1.2 万吨——同为三元正极材料的锂源上游。 | 营收 8.6 亿 / 净利 1.2 亿 / 未上市 |

## 二、可能相关，但需要确认

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 缺什么信息 |
|---|---|---|---|---|
| 54 | 湖南裕能新型正极材料有限公司 | 相邻 | 研发生产磷酸铁锂正极材料，产能 12 万吨/年——同属电池正极材料赛道，工艺和客户有相通之处，但化学体系为 LFP 而非三元 NCM/NCA，需确认买家是否考虑跨体系整合或转型。 | 买家是否接受非三元化学体系的正极材料标的 |

## 三、信息不足，无法判断

| 行号 | 标的名称 |
|---|---|
| 22 | 南昌新翔鞋业股份有限公司 |
| 23 | 唐山昌源软件集团有限公司 |
| 37 | 唐山泰宏教育信息有限公司 |
| 46 | 东莞立轩化工股份有限公司 |
| 58 | 南京博冠连接器科技有限公司 |
| 61 | 苏州源盛管业科技有限公司 |
| 67 | 上海隆博新材料集团有限公司 |
| 68 | 石家庄恒坤食品实业有限公司 |
| 99 | 中山博立生物科技实业有限公司 |
| 119 | 常州新翔管业股份有限公司 |
| 123 | 苏州昆仑半导体材料有限公司 |
| 140 | 成都科远微电子实业有限公司 |
| 171 | 惠州昱远气体股份有限公司 |
| 179 | 大连博轩再生资源股份公司 |
| 186 | 天津创捷教育集团有限公司 |
| 197 | 泉州博立鞋业实业有限公司 |
| 199 | 合肥晟百汽车系统科技有限公司 |

## 四、一句话总结

命中 6 家：2 家直接做三元正极材料（横向），4 家处于三元正极材料上游链（前驱体、电池回收、碳酸锂），方向集中且产业链层次清晰。另 1 家做磷酸铁锂正极材料，化学体系不同但同属正极材料赛道，值得确认。库中三元正极材料方向的直接标的数量有限，尤其是已规模供货车用三元的仅 #4 一家，#43 车用三元尚在导入期，存在一定缺口。

{"hit":[4,43,25,128,1,65],"maybe":[54],"insufficient":[22,23,37,46,58,61,67,68,99,119,123,140,171,179,186,197,199],"checked":200}
