## 一、命中（按业务匹配强度从高到低）

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 94 | 宁波容百高镍材料股份有限公司 | 横向 | 直接生产 NCM811 及以上高镍三元正极材料，配套烧结与包覆工艺，已供货国内外动力电池厂，与买家需求完全对口 | 用户未提具体条件 |
| 177 | 天津巴莫钴酸锂材料有限公司 | 横向 | 主营 NCM、NCA 三元材料研发生产，但车用体系尚在导入验证阶段、未形成规模出货，对口度略低于行94 | 用户未提具体条件 |
| 296 | 贵州振华三元前驱体材料有限公司 | 纵向 | 生产镍钴锰氢氧化物前驱体，是三元正极材料的直接上游原料，覆盖5系至8系高镍型号，已通过多家正极厂商认证 | 用户未提具体条件 |

## 二、可能相关，但需要确认

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 缺什么信息 |
|---|---|---|---|---|
| 234 | 广东邦普再生资源循环有限公司 | 纵向 | 退役动力电池回收与镍钴锂再生冶炼，再生材料可返供正极前驱体环节，但自身不直接生产正极材料 | 需确认再生材料具体品类与产能规模 |
| 145 | 江西宜春锂云母矿业股份有限公司 | 纵向 | 锂云母采选及碳酸锂加工，产品供应正极材料厂商，属上游的上游，距离三元正极方向较远 | 需确认是否有向三元正极方向延伸的计划 |
| 66 | 青海盐湖锂业开发有限公司 | 纵向 | 盐湖提锂产电池级碳酸锂，是正极材料的锂源上游，但距离三元正极方向较远 | 需确认是否有向正极材料延伸的能力 |
| 116 | 湖南裕能新型正极材料有限公司 | 横向 | 做磷酸铁锂正极材料，同属正极赛道但技术路线不同（LFP vs 三元），若买家也考虑 LFP 路线则对口 | 需确认买家是否同时关注 LFP 路线 |

## 三、信息不足，无法判断

| 行号 | 标的名称 |
|---|---|
| 5 | 大连博轩再生资源股份公司 |
| 19 | 石家庄恒坤食品实业有限公司 |
| 40 | 唐山科轩测控集团有限公司 |
| 51 | 南京博冠连接器科技有限公司 |
| 54 | 东莞立轩化工股份有限公司 |
| 62 | 苏州源盛管业科技有限公司 |
| 73 | 常州新翔管业股份有限公司 |
| 82 | 广州源臻康复设备股份有限公司 |
| 89 | 深圳汇顶指纹芯片有限公司 |
| 98 | 南昌新翔鞋业股份有限公司 |
| 104 | 唐山昌源软件集团有限公司 |
| 105 | 长沙源嘉软件实业有限公司 |
| 138 | 苏州昆仑半导体材料有限公司 |
| 144 | 上海创源餐饮管理实业有限公司 |
| 147 | 中山博立生物科技实业有限公司 |
| 154 | 唐山泰宏教育信息有限公司 |
| 156 | 上海隆博新材料集团有限公司 |
| 166 | 泉州博立鞋业实业有限公司 |
| 194 | 武汉曜顺汽车饰件制造有限公司 |
| 197 | 天津创捷教育集团有限公司 |
| 222 | 合肥晟百汽车系统科技有限公司 |
| 225 | 株洲立创食品集团有限公司 |
| 241 | 常州誉隆健康管理制造有限公司 |
| 243 | 合肥谦联电子股份有限公司 |
| 250 | 成都科远微电子实业有限公司 |
| 251 | 惠州昱远气体股份有限公司 |
| 271 | 无锡华芯功率器件有限公司 |
| 290 | 郑州毅宏导航股份有限公司 |

## 四、一句话总结

命中3家：2家直接做三元正极材料（行94已规模供货动力电池厂、行177车用体系仍在验证），1家做三元前驱体（行296）。可能相关4家集中在锂资源上游和电池回收方向。库里三元正极材料方向标的数量较少，直接对口的仅2家、前驱体1家，存在明显缺口；另有1家磷酸铁锂正极（行116）路线不同但同属正极赛道，视买家策略可否纳入。

{"hit":[94,177,296],"maybe":[234,145,66,116],"insufficient":[5,19,40,51,54,62,73,82,89,98,104,105,138,144,147,154,156,166,194,197,222,225,241,243,250,251,271,290],"checked":300}
