# 筛选结果

## 一、命中（按业务匹配强度从高到低）

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 41 | 南京埃斯顿工业机器人有限公司 | 横向 | 研发制造六轴工业机器人本体及控制系统，伺服驱动与控制器自研，产品覆盖搬运、焊接、码垛与上下料场景，是典型的工业机器人本体厂商。 | 用户未提具体条件 |
| 288 | 上海节卡协作机器人科技有限公司 | 横向 | 研发协作机器人本体并提供视觉集成方案，负载 3~20kg 全系列，支持拖动示教，直接对口机器人方向。 | 用户未提具体条件 |
| 281 | 深圳优必选教育机器人有限公司 | 横向 | 生产教育机器人与 STEAM 课程硬件，硬件配套自研课程体系与教师培训，横跨"机器人"与"智能教具"两个方向。 | 用户未提具体条件 |
| 95 | 广州小方编程教具科技有限公司 | 横向 | 面向 K12 提供编程教育硬件教具，产品含图形化编程主控板、传感器套件与配套课程，直接对口智能教具方向。 | 用户未提具体条件 |
| 54 | 北京旷视 AI 质检科技有限公司 | 横向 | 提供产线表面缺陷检测算法与边缘一体机，支持小样本训练，已在三十余条产线部署，是 AI 工业应用典型标的。 | 用户未提具体条件 |
| 225 | 杭州海康机器视觉技术有限公司 | 横向 | 提供机器视觉相机、镜头与算法平台，硬件与算法一体交付，机器视觉是人工智能与机器人的核心感知技术。 | 用户未提具体条件 |
| 163 | 成都川大智胜三维视觉有限公司 | 横向 | 从事三维视觉测量与人脸识别技术开发，结构光与双目方案并行，精度达微米级，直接对口人工智能方向。 | 用户未提具体条件 |
| 188 | 苏州绿的谐波减速器有限公司 | 纵向 | 生产谐波减速器，为机器人关节核心部件，年产能 30 万台，配套国内主流本体厂，是机器人产业链关键上游。 | 用户未提具体条件 |
| 62 | 苏州鼎智轻量化结构件有限公司 | 纵向 | 将高真空压铸工艺迁移至工业机器人与协作机器人的臂体、关节壳体等轻量化结构件，机器人业务收入占比已接近四成。 | 用户未提具体条件 |
| 224 | 上海韦尔图像传感器设计有限公司 | 纵向 | 从事 CMOS 图像传感器设计，产品覆盖智能手机、汽车与安防三大场景，是机器视觉与 AI 视觉感知的上游核心器件。 | 用户未提具体条件 |
| 217 | 东莞市童创智能积木有限公司 | 相邻 | 设计生产儿童智能积木及配套 APP，拼搭结构件自开模，APP 内置分级课程，属智能教具方向的相邻品类。 | 用户未提具体条件 |
| 19 | 北京盛锐教育科技集团有限公司 | 相邻 | 主业职业技能培训，第二门生意运营 AI 智能学习软件，基于大模型打造仿真教师，覆盖二十余类职业资格认证，对口"人工智能+教育"交叉方向。 | 用户未提具体条件 |
| 255 | 苏州科创教育科技股份有限公司 | 相邻 | 教育业务中职业技能培训板块推出 AI 智能学习软件，覆盖二十余类职业资格认证，线上累计用户近三万；但公司同时经营油墨业务，AI 教育为其中一块。 | 用户未提具体条件 |
| 32 | 苏州誉联康复设备股份公司 | 相邻 | 生产康复训练机器人与理疗设备，产品含上下肢康复机器人，是机器人在医疗康复领域的应用标的。 | 用户未提具体条件 |
| 106 | 洛阳华嘉康复设备实业有限公司 | 相邻 | 生产康复训练机器人与理疗设备，产品含上下肢康复机器人与物理因子治疗设备，同属机器人应用方向。 | 用户未提具体条件 |
| 289 | 武汉远捷康复设备有限公司 | 相邻 | 生产康复训练机器人与理疗设备，产品含上下肢康复机器人，面向康复医疗与养老照护。 | 用户未提具体条件 |

## 二、可能相关，但需要确认

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 缺什么信息 |
|---|---|---|---|---|
| 33 | 惠州源远智能物流制造有限公司 | 相邻 | 提供仓储自动化设备含堆垛机、输送分拣与穿梭车产品线，属自动化装备，与工业机器人有工艺与客户重叠，但产品本身非机器人本体。 | 需确认是否有 AGV/AMR 等移动机器人产品线 |
| 60 | 济南远泰智能物流集团有限公司 | 相邻 | 同上，提供仓储自动化设备与 WMS 系统集成，含堆垛机、输送分拣与穿梭车，名称含"智能"但产品为物流装备。 | 需确认是否涉及移动机器人 |
| 184 | 南京瑞毅智能物流股份公司 | 相邻 | 同上，仓储自动化设备与 WMS 系统集成，含堆垛机、输送分拣与穿梭车产品线。 | 需确认是否涉及移动机器人 |
| 241 | 贵阳冠越智能物流实业有限公司 | 相邻 | 同上，仓储自动化设备与 WMS 系统集成。 | 需确认是否涉及移动机器人 |
| 243 | 烟台瑞宏智能物流科技有限公司 | 相邻 | 同上，仓储自动化设备与 WMS 系统集成。 | 需确认是否涉及移动机器人 |
| 254 | 福州立新智能物流制造有限公司 | 相邻 | 同上，仓储自动化设备与 WMS 系统集成。 | 需确认是否涉及移动机器人 |

## 三、信息不足，无法判断

| 行号 | 标的名称 |
|---|---|
| 36 | 常州新翔管业股份有限公司 |
| 39 | 惠州昱远气体股份有限公司 |
| 50 | 长沙源嘉软件实业有限公司 |
| 55 | 泉州博立鞋业实业有限公司 |
| 56 | 常州誉隆健康管理制造有限公司 |
| 68 | 深圳汇顶指纹芯片有限公司 |
| 108 | 郑州毅宏导航股份有限公司 |
| 110 | 合肥晟百汽车系统科技有限公司 |
| 125 | 唐山科轩测控集团有限公司 |
| 152 | 株洲立创食品集团有限公司 |
| 154 | 苏州源盛管业科技有限公司 |
| 155 | 唐山泰宏教育信息有限公司 |
| 196 | 上海创源餐饮管理实业有限公司 |
| 197 | 中山博立生物科技实业有限公司 |
| 198 | 天津创捷教育集团有限公司 |
| 207 | 大连博轩再生资源股份公司 |
| 208 | 石家庄恒坤食品实业有限公司 |
| 212 | 武汉曜顺汽车饰件制造有限公司 |
| 221 | 合肥谦联电子股份有限公司 |
| 244 | 唐山昌源软件集团有限公司 |
| 257 | 南京博冠连接器科技有限公司 |
| 262 | 南昌新翔鞋业股份有限公司 |
| 265 | 苏州昆仑半导体材料有限公司 |
| 271 | 东莞立轩化工股份有限公司 |
| 273 | 广州源臻康复设备股份有限公司 |
| 280 | 成都科远微电子实业有限公司 |
| 283 | 上海隆博新材料集团有限公司 |
| 298 | 无锡华芯功率器件有限公司 |

## 四、一句话总结

命中 16 家，主要集中在三个方向：工业/协作机器人本体（埃斯顿、节卡）、机器人核心部件（绿的谐波、鼎智结构件、韦尔图像传感器）、AI 与智能教具（旷视 AI 质检、海康机器视觉、川大智胜、小方编程教具、优必选教育机器人），另有 3 家康复机器人与 2 家 AI 教育软件作为相邻匹配。库里在"服务机器人"和"通用 AI 大模型/平台"两个细分方向有明显缺口，现有 AI 标的多为工业视觉与教育应用层。

{"hit":[41,288,281,95,54,225,163,188,62,224,217,19,255,32,106,289],"maybe":[33,60,184,241,243,254],"insufficient":[36,39,50,55,56,68,108,110,125,152,154,155,196,197,198,207,208,212,221,244,257,262,265,271,273,280,283,298],"checked":300}
