## 一、命中（按业务匹配强度从高到低）

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 82 | 福建时代方形电芯制造有限公司 | 纵向 | 制造方形铝壳动力电芯，产能 8GWh，是 Pack 最直接的核心上游组件 | 无硬性条件 |
| 92 | 重庆旭升新能源结构件有限公司 | 纵向 | 铝合金挤压与精密加工结构件，明确覆盖电池托盘，是 Pack 结构件供应商 | 无硬性条件 |
| 3 | 福州臻泰热能科技制造有限公司 | 纵向 | 新能源汽车热管理系统，含电子水泵、冷却板、集成模块，配套三电，是 Pack 热管理核心组件 | 无硬性条件 |
| 13 | 贵阳昱新连接器实业有限公司 | 纵向 | 第一门生意做新能源汽车高压高速连接器，用于整车高压系统与储能设备，是 Pack 电气组件；第二门生意做薄膜电容器亦可用于电力电子环节 | 无硬性条件 |
| 17 | 广州坤瑞新材料实业有限公司 | 纵向 | 工业胶粘剂与密封材料，明确在动力电池结构胶方向已批量供货，是 Pack 组装辅料 | 无硬性条件 |
| 7 | 湖南裕能新型正极材料有限公司 | 纵向 | 磷酸铁锂正极材料产能 12 万吨/年，配套自建前驱体产线，是电芯核心材料上游 | 无硬性条件 |
| 169 | 宁波容百高镍材料股份有限公司 | 纵向 | NCM811 及以上高镍正极材料，供货国内外动力电池厂，是电芯核心材料上游 | 无硬性条件 |
| 33 | 天津巴莫钴酸锂材料有限公司 | 纵向 | NCM/NCA 三元材料与钴酸锂产品，正极材料上游；三元车用体系尚在导入验证阶段 | 无硬性条件 |
| 54 | 常州锂盛负极材料科技有限公司 | 纵向 | 人造石墨负极材料产能 4 万吨/年，客户含多家动力电芯厂商，是电芯核心材料上游 | 无硬性条件 |
| 111 | 深圳星源湿法隔膜有限公司 | 纵向 | 锂电池湿法隔膜及涂覆膜，主要客户为动力电池一线厂商，是电芯核心材料上游 | 无硬性条件 |
| 42 | 珠海赛纬电解液有限公司 | 纵向 | 锂离子电池电解液及功能添加剂，六氟磷酸锂部分自供，是电芯核心材料上游 | 无硬性条件 |
| 12 | 江西宜春锂云母矿业股份有限公司 | 纵向 | 锂云母矿采选及碳酸锂加工，与两家头部电池企业签订长期承购协议，是正极材料上游的锂资源端 | 无硬性条件 |
| 199 | 青海盐湖锂业开发有限公司 | 纵向 | 以盐湖卤水为原料提锂，年产电池级碳酸锂 1.2 万吨，是锂资源端 | 无硬性条件 |
| 120 | 广东邦普再生资源循环有限公司 | 纵向 | 退役动力电池回收与镍钴锂再生冶炼，再生材料可直接返供正极前驱体环节，是产业链循环上游 | 无硬性条件 |
| 11 | 成都昌远热能科技有限公司 | 纵向 | 新能源汽车热管理系统，含电子水泵、冷却板、集成模块，配套三电 | 无硬性条件 |
| 158 | 广州泰翔热能科技制造有限公司 | 纵向 | 新能源汽车热管理系统与零部件，含冷却板等 | 无硬性条件 |
| 171 | 绍兴昱捷热能科技股份公司 | 纵向 | 第一门生意为新能源汽车热管理（含冷却板等），第二门空气悬架与 Pack 无关 | 无硬性条件 |
| 16 | 株洲曜立氟化工股份有限公司 | 纵向 | 萤石采选及氢氟酸加工，氢氟酸是电解液六氟磷酸锂的上游原料，属较远端上游 | 无硬性条件 |
| 112 | 大连越臻氟化工科技有限公司 | 纵向 | 同上，萤石采选及氢氟酸加工，电解液原料端 | 无硬性条件 |

## 二、可能相关，但需要确认

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 缺什么信息 |
|---|---|---|---|---|
| 25 | 太原翔创精密工业集团有限公司 | 相邻 | 消费电子精密结构件正在向新能源汽车结构件拓展，CNC 与冲压工艺可迁移至 Pack 结构件 | 未明确提及电池 Pack 结构件 |
| 159 | 深圳盛远精密工业科技有限公司 | 相邻 | 同上，消费电子精密结构件向新能源汽车结构件拓展 | 未明确提及电池 Pack 结构件 |
| 45 | 苏州东微高压功率器件有限公司 | 相邻 | 超级结 MOSFET 与 IGBT 功率器件，可用于 BMS 但业务说明仅提充电桩、光伏逆变与工业电源 | 未提及动力电池 BMS 应用 |
| 35 | 北京旷视 AI 质检科技有限公司 | 相邻 | 产线表面缺陷检测算法，面向锂电行业有工艺模型库，可用于 Pack 产线质检 | 是检测服务而非供应链材料，保供应链角度较弱 |
| 30 | 无锡先导锂电装备股份有限公司 | 相邻 | 锂电池生产设备（涂布机、卷绕机、叠片机），是电芯产线设备而非 Pack 材料 | 设备而非材料，保供应链角度较弱 |
| 59 | 宁波盛能电池 Pack 集成有限公司 | 横向 | 从事电池包结构件设计与 Pack 系统集成，与用户同业而非上游 | 是同业横向，非上游整合标的 |

## 三、信息不足，无法判断

行 24、27、60、70、88、95、102、110、116、121、127、133、138、139、140、147、172、173、174、191、200

## 四、一句话总结

命中 19 家，覆盖 Pack 上游全产业链：从最直接的电芯（行 82）、Pack 结构件与热管理组件（行 92/3/13/17），到电芯四大材料（正极行 7/169/33、负极行 54、隔膜行 111、电解液行 42），再到锂资源端（行 12/199）和电池回收循环（行 120），以及较远端的氢氟酸原料（行 16/112）。库里在 BMS 芯片与传感器、铜铝箔辅材方向有明显缺口。

{"hit":[82,92,3,13,17,7,169,33,54,111,42,12,199,120,11,158,171,16,112],"maybe":[25,159,45,35,30,59],"insufficient":[24,27,60,70,88,95,102,110,116,121,127,133,138,139,140,147,172,173,174,191,200],"checked":200}
