# 筛选结果

## 一、命中（按业务匹配强度从高到低）

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 43 | 苏州鼎智轻量化结构件有限公司 | 相邻 | **最契合标的。** 主营精密压铸与机加工结构件，早期做汽车零部件，近年已将同一套高真空压铸工艺与模具开发能力迁移至工业机器人/协作机器人的臂体、关节壳体等轻量化结构件，机器人业务收入占比已近四成。具备压铸、热处理、机加与表面处理一体化产线——与买家工艺高度一致，且已跑通跨界路径。 | 营收 2.7 亿 / 净利 2900 万 / 未上市（用户未提具体条件） |
| 54 | 宁波美利信车身压铸有限公司 | 横向 | 同为汽车铝合金压铸结构件制造商，拥有 2000T–6000T 压铸机多台，具备一体化压铸工艺能力，模具自主设计开发，产品配套新能源车身结构件与三电壳体。与买家同业，收了可扩产能或补齐大吨位一体化压铸能力。 | 营收 13.2 亿 / 净利 7900 万 / 未上市 |
| 141 | 苏州亚德林轻合金有限公司 | 横向 | 生产汽车铝合金压铸件与精密加工件，配套新能源车三电壳体，与买家业务直接对口。注意：同名第 4 行做的是建筑铝模板（挤压工艺），与此行非同一标的，勿混。 | 营收 4.3 亿 / 净利 2800 万 / 未上市 |

## 二、可能相关，但需要确认

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 缺什么信息 |
|---|---|---|---|---|
| 25 | 重庆旭升新能源结构件有限公司 | 相邻 | 生产铝合金挤压与精密加工结构件（电池托盘、防撞梁、副车架等），同属铝合金轻量化赛道、同供汽车主机厂，但核心工艺为挤压而非压铸，工艺相通程度需进一步评估其模具设计与铝材加工能力的可迁移性。 | 需确认其挤压模具团队与压铸模具团队的技术复用度，以及是否有意向向压铸方向延伸 |
| 52 | 广东力劲压铸装备有限公司 | 纵向 | 制造大型冷室压铸机（800T–9000T）与周边自动化单元，是买家所用核心设备的上游供应商。若买家想纵向整合装备端或向压铸整体解决方案延伸，有工艺知识共通点；但商业模式（卖设备 vs 卖零件）差异大。 | 需确认买家是否有意愿向装备/方案输出方向延伸 |

## 三、信息不足，无法判断

| 行号 | 标的名称 |
|---|---|
| 45 | 苏州昆仑半导体材料有限公司 |
| 47 | 南京博冠连接器科技有限公司 |
| 60 | 惠州昱远气体股份有限公司 |
| 62 | 合肥晟百汽车系统科技有限公司 |
| 96 | 合肥谦联电子股份有限公司 |
| 107 | 东莞立轩化工股份有限公司 |
| 129 | 泉州博立鞋业实业有限公司 |
| 135 | 常州新翔管业股份有限公司 |
| 139 | 南昌新翔鞋业股份有限公司 |
| 150 | 武汉曜顺汽车饰件制造有限公司 |
| 168 | 石家庄恒坤食品实业有限公司 |
| 169 | 株洲立创食品集团有限公司 |
| 171 | 无锡华芯功率器件有限公司 |
| 174 | 大连博轩再生资源股份公司 |
| 185 | 苏州源盛管业科技有限公司 |
| 199 | 唐山泰宏教育信息有限公司 |

## 四、一句话总结

命中 3 家：1 家**完美相邻匹配**（#43 苏州鼎智，已用压铸工艺切入机器人结构件并跑通），2 家**横向同业**（#54 美利信、#141 亚德林）。另有 2 家沾边待确认。库里在"压铸工艺跨界应用"方向的标的明显偏少——除 #43 外，几乎没有其他行业用铝合金压铸工艺做结构件的标的，这是一个明显的缺口，建议在库外定向搜寻压铸件在通信、家电、两轮车、医疗器械外壳等赛道的应用标的。

{"hit":[43,54,141],"maybe":[25,52],"insufficient":[45,47,60,62,96,107,129,135,139,150,168,169,171,174,185,199],"checked":200}
