## 一、命中（按业务匹配强度从高到低）

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 169 | 苏州鼎智轻量化结构件有限公司 | 相邻 | 主营精密压铸与机加工结构件，早期做汽车零部件，近年将同一套高真空压铸工艺与模具开发能力迁移至工业机器人/协作机器人的臂体、关节壳体等轻量化结构件，机器人业务收入占比已近四成——**正是买家想做的事，且已经做成了** | 用户未提具体条件 |
| 105 | 宁波美利信车身压铸有限公司 | 横向 | 同为汽车铝合金压铸结构件制造，拥有 2000T–6000T 压铸机、一体化压铸工艺能力、模具自主设计开发，已通过 IATF16949；产品覆盖新能源车身结构件与三电壳体，与买家业务高度同构 | 用户未提具体条件 |
| 233 | 苏州亚德林轻合金有限公司 | 横向 | 生产汽车铝合金压铸件与精密加工件，配套新能源车三电壳体，与买家属同一赛道同一工艺（注意：行 84 同名公司做建筑铝模板，系不同标的） | 用户未提具体条件 |

## 二、可能相关，但需要确认

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 缺什么信息 |
|---|---|---|---|---|
| 49 | 广东力劲压铸装备有限公司 | 纵向 | 制造大型冷室压铸机（800T–9000T）及周边自动化单元，是买家所用核心装备的上游供应商；收购可纵向整合设备端，但不直接帮助进入新赛道，需确认买家是否对装备自主化有兴趣 | 买家是否愿意向装备上游延伸 |
| 292 | 重庆旭升新能源结构件有限公司 | 相邻 | 生产铝合金挤压与精密加工结构件（电池托盘、防撞梁、副车架），材料同为铝合金、终端同为新能源车，但工艺为挤压而非压铸；若买家想补齐挤压工艺形成"压铸+挤压"组合，值得看 | 标的是否有压铸产线或意愿引入压铸 |
| 199 | 上海节卡协作机器人科技有限公司 | 相邻 | 协作机器人本体厂（3–20kg 全系列），行 169 已证明压铸件可用于机器人臂体与关节壳体；收购或合作可直接切入机器人赛道，但标的自身不做压铸，需确认其结构件供应链是否可由买家承接 | 标的结构件采购模式与自制意愿 |
| 247 | 南京埃斯顿工业机器人有限公司 | 相邻 | 六轴工业机器人本体厂，覆盖搬运/焊接/码垛/上下料，下游含汽车零部件与新能源制造；逻辑同 199，收购可切入机器人赛道并承接其结构件供应 | 同上 |
| 83 | 南通晟昱声学集团有限公司 | 相邻 | 第二门生意为消费电子精密结构件（CNC+冲压+阳极氧化），正在向新能源汽车结构件拓展；工艺非压铸但同属精密金属结构件制造，客户与买家有重叠 | 标的是否有压铸产线或计划引入 |
| 213 | 太原翔创精密工业集团有限公司 | 相邻 | 消费电子精密结构件加工（CNC+冲压+阳极氧化），向新能源汽车结构件拓展；与 83 的第二门生意类似，工艺不完全对口但客户群和终端有交叉 | 同上 |

## 三、信息不足，无法判断

| 行号 | 标的名称 |
|---|---|
| 9 | 东莞立轩化工股份有限公司 |
| 20 | 长沙源嘉软件实业有限公司 |
| 44 | 天津创捷教育集团有限公司 |
| 64 | 广州源臻康复设备股份有限公司 |
| 76 | 合肥谦联电子股份有限公司 |
| 78 | 常州新翔管业股份有限公司 |
| 79 | 唐山泰宏教育信息有限公司 |
| 89 | 成都科远微电子实业有限公司 |
| 93 | 武汉曜顺汽车饰件制造有限公司 |
| 109 | 大连博轩再生资源股份公司 |
| 114 | 株洲立创食品集团有限公司 |
| 115 | 苏州源盛管业科技有限公司 |
| 128 | 惠州昱远气体股份有限公司 |
| 131 | 唐山昌源软件集团有限公司 |
| 134 | 无锡华芯功率器件有限公司 |
| 142 | 泉州博立鞋业实业有限公司 |
| 147 | 合肥晟百汽车系统科技有限公司 |
| 153 | 常州誉隆健康管理制造有限公司 |
| 164 | 唐山科轩测控集团有限公司 |
| 168 | 南京博冠连接器科技有限公司 |
| 178 | 苏州昆仑半导体材料有限公司 |
| 193 | 南昌新翔鞋业股份有限公司 |
| 211 | 深圳汇顶指纹芯片有限公司 |
| 288 | 郑州毅宏导航股份有限公司 |
| 290 | 石家庄恒坤食品实业有限公司 |
| 294 | 上海隆博新材料集团有限公司 |

## 四、一句话总结

命中 3 家：1 家已成功将压铸/模具能力从汽车迁移到机器人结构件（行 169，最佳参照），2 家与买家同赛道同工艺（行 105、233）。可能相关 6 家，主要集中在机器人本体厂（可承接结构件供应切入新赛道）和精密金属结构件厂（工艺相邻）。库中压铸类标的偏少，尤其在非汽车赛道（如通信、家电、LED 照明、电动工具等压铸件应用领域）几乎没有覆盖，存在明显缺口。

{"hit":[169,105,233],"maybe":[49,292,199,247,83,213],"insufficient":[9,20,44,64,76,78,79,89,93,109,114,115,128,131,134,142,147,153,164,168,178,193,211,288,290,294],"checked":300}
