## 一、命中（按业务匹配强度从高到低）

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 169 | 苏州鼎智轻量化结构件有限公司 | 相邻 | 主营精密压铸与机加工结构件，早期为汽车零部件配套，后将同一套高真空压铸工艺与模具开发能力迁移至工业机器人与协作机器人的臂体、关节壳体等轻量化结构件，机器人业务收入占比已近四成。具备压铸、热处理、机加与表面处理一体化产线——这正是买家想复制的"用压铸切新赛道"的现成样板。 | 用户未提具体条件 |
| 105 | 宁波美利信车身压铸有限公司 | 横向 | 从事汽车铝合金压铸结构件开发与制造，拥有2000T至6000T压铸机多台，具备一体化压铸工艺能力，模具自主设计开发，已通过IATF16949。与买家同业，属横向整合标的；注意此为同赛道而非新赛道。 | 用户未提具体条件 |
| 233 | 苏州亚德林轻合金有限公司 | 横向 | 生产汽车铝合金压铸件与精密加工件，配套新能源车三电壳体。与买家同业，属横向整合标的；注意此为同赛道而非新赛道。与第84行同名但业务说明不同，分别列出。 | 用户未提具体条件 |
| 49 | 广东力劲压铸装备有限公司 | 纵向 | 制造大型冷室压铸机与周边自动化单元，单机锁模力覆盖800T至9000T。是买家上游设备供应商，收购可保障装备供应链并切入压铸装备制造赛道。 | 用户未提具体条件 |

## 二、可能相关，但需要确认

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 缺什么信息 |
|---|---|---|---|---|
| 292 | 重庆旭升新能源结构件有限公司 | 相邻 | 铝合金挤压与精密加工结构件，覆盖电池托盘、防撞梁、副车架等品类。同属铝合金轻量化结构件赛道，材料与终端客户相通，但核心成型工艺为挤压而非压铸，工艺部分相通需进一步评估。 | 需确认是否具备或计划引入压铸工艺 |
| 83 | 南通晟昱声学集团有限公司 | 相邻 | 第二门生意为消费电子精密结构件加工制造，CNC与冲压工艺并行，正拓展新能源汽车结构件。模具设计能力部分相通，但核心成型工艺（冲压/CNC vs 压铸）不同，可视为跨3C赛道的工艺相邻标的。 | 需确认冲压模具与压铸模具的设计能力迁移度 |
| 213 | 太原翔创精密工业集团有限公司 | 相邻 | 消费电子精密结构件加工制造，CNC与冲压工艺并行，正拓展新能源汽车结构件。与第83行同类业务模式，客户集中度高。 | 同上 |
| 148 | 唐山启臻声学有限公司 | 相邻 | 第二门生意为消费电子精密结构件，CNC与冲压，正拓展新能源汽车结构件。与第83行同类模式。 | 同上；营收净利未录 |
| 251 | 深圳盛远精密工业科技有限公司 | 相邻 | 消费电子精密结构件，CNC与冲压，正拓展新能源汽车结构件。与第83行同类模式。 | 同上；净利未录 |
| 263 | 南昌昌臻声学制造有限公司 | 相邻 | 第二门生意为消费电子精密结构件，CNC与冲压，正拓展新能源汽车结构件。与第83行同类模式。 | 同上；营收净利未录 |
| 279 | 惠州谦百声学有限公司 | 相邻 | 第二门生意为消费电子精密结构件，CNC与冲压，正拓展新能源汽车结构件。与第83行同类模式。 | 同上；营收净利未录 |
| 84 | 苏州亚德林轻合金有限公司 | 相邻 | 生产建筑铝合金模板与脚手架系统，租赁与销售并行。同属铝合金加工，材料相通，但工艺为挤压/成型而非压铸，应用领域跨度较大。与第233行同名但业务说明不同。 | 需确认工艺细节是否含压铸环节 |
| 273 | 大连联恒充电科技制造有限公司 | 待确认 | 标签含"汽车压铸"，但业务说明仅描述充电桩生产与场站运营，未提及任何压铸业务。标签与正文冲突，以正文为准暂不列为命中，但标签线索值得追问。 | 需确认是否存在未披露的压铸业务 |

## 三、信息不足，无法判断

| 行号 | 标的名称 |
|---|---|
| 9 | 东莞立轩化工股份有限公司 |
| 20 | 长沙源嘉软件实业有限公司 |
| 44 | 天津创捷教育集团有限公司 |
| 64 | 广州源臻康复设备股份有限公司 |
| 76 | 合肥谦联电子股份有限公司 |
| 78 | 常州新翔管业股份有限公司 |
| 79 | 唐山泰宏教育信息有限公司 |
| 89 | 成都科远微电子实业有限公司 |
| 93 | 武汉曜顺汽车饰件制造有限公司 |
| 109 | 大连博轩再生资源股份公司 |
| 115 | 苏州源盛管业科技有限公司 |
| 128 | 惠州昱远气体股份有限公司 |
| 131 | 唐山昌源软件集团有限公司 |
| 134 | 无锡华芯功率器件有限公司 |
| 138 | 上海创源餐饮管理实业有限公司 |
| 142 | 泉州博立鞋业实业有限公司 |
| 147 | 合肥晟百汽车系统科技有限公司 |
| 153 | 常州誉隆健康管理制造有限公司 |
| 164 | 唐山科轩测控集团有限公司 |
| 168 | 南京博冠连接器科技有限公司 |
| 178 | 苏州昆仑半导体材料有限公司 |
| 193 | 南昌新翔鞋业股份有限公司 |
| 198 | 中山博立生物科技实业有限公司 |
| 211 | 深圳汇顶指纹芯片有限公司 |
| 288 | 郑州毅宏导航股份有限公司 |
| 290 | 石家庄恒坤食品实业有限公司 |
| 294 | 上海隆博新材料集团有限公司 |

## 四、一句话总结

命中4家，其中#169苏州鼎智是最佳标的——已用压铸工艺成功切入机器人赛道，与买家意图高度吻合；#105、#233为同业横向标的；#49为上游设备纵向标的。库里压铸工艺跨赛道应用的标的明显偏少，多数金属结构件企业用的是CNC/冲压而非压铸，工艺迁移度需逐个验证。

{"hit":[169,105,233,49],"maybe":[292,83,213,148,251,263,279,84,273],"insufficient":[9,20,44,64,76,78,79,89,93,109,115,128,131,134,138,142,147,153,164,168,178,193,198,211,288,290,294],"checked":300}
