## 一、命中（按业务匹配强度从高到低）

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 292 | 福建南方筑路机械股份有限公司 | 横向+纵向 | 业务说明覆盖「原生骨料加工处理设备—工程搅拌设备—骨料资源化再生处理设备」全产业链，既做骨料加工设备（精品制砂、整形制砂、破碎筛分），又做水泥混凝土搅拌设备（与买家同业），还做废湿混凝土回收与建筑垃圾资源化再生处理成套装备——三块业务完全覆盖买家补齐方向 | 用户未设定财务或上市门槛 |
| 49 | 河南黎明破碎筛分重工有限公司 | 纵向 | 业务说明明确"生产原生骨料加工处理设备"，产品含颚式破碎机、圆锥破碎机、整形制砂机及固定式与移动式破碎筛分成套设备，在矿山与砂石骨料生产线有大量工程业绩——直接对口买家上游骨料加工需求 | 用户未设定财务或上市门槛 |
| 84 | 山东建友资源化再生装备有限公司 | 纵向 | 业务说明为"开发废湿混凝土回收设备与建筑垃圾资源化再生处理成套装备"——直接对口买家建筑垃圾资源化需求 | 用户未设定财务或上市门槛 |

## 二、可能相关，但需要确认

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 缺什么信息 |
|---|---|---|---|---|
| 169 | 湖北中天沥青搅拌设备有限公司 | 横向 | 业务说明为"制造沥青混合料搅拌设备与稳定土厂拌设备"，与买家同属工程搅拌装备大类，工艺与客户相通，但产品线是沥青/稳定土而非混凝土搅拌，且不涉及骨料加工或建筑垃圾资源化——若买家有意横向扩展搅拌设备品类可看 | 不涉及买家指定的两块上游，仅作为同业横向参考 |
| 105 | 江苏中砼混凝土外加剂有限公司 | 相邻 | 业务说明为"生产聚羧酸减水剂及混凝土功能外加剂，供应商品混凝土搅拌站与预制构件厂"——客户群体与买家下游重合，属混凝土产业链相邻环节，但并非骨料加工或建筑垃圾资源化装备 | 非装备制造而是化工材料，与买家补齐方向不直接对口 |
| 74 | 深圳坤臻软件实业有限公司 | 待确认 | 标签含"建筑垃圾资源化"，但业务说明全文仅描述低代码应用开发平台，未提及任何建筑垃圾相关业务——标签与正文冲突，按规则以正文为准，但标签可能暗示存在未录入的第二业务 | 业务说明未覆盖标签所述的建筑垃圾资源化业务，需向标的方确认是否确有该业务 |

## 三、信息不足，无法判断

| 行号 | 标的名称 |
|---|---|
| 9 | 东莞立轩化工股份有限公司 |
| 20 | 长沙源嘉软件实业有限公司 |
| 54 | 天津创捷教育集团有限公司 |
| 55 | 株洲立创食品集团有限公司 |
| 64 | 广州源臻康复设备股份有限公司 |
| 78 | 常州新翔管业股份有限公司 |
| 79 | 唐山泰宏教育信息有限公司 |
| 85 | 无锡华芯功率器件有限公司 |
| 109 | 大连博轩再生资源股份公司 |
| 115 | 苏州源盛管业科技有限公司 |
| 124 | 合肥谦联电子股份有限公司 |
| 128 | 惠州昱远气体股份有限公司 |
| 129 | 郑州毅宏导航股份有限公司 |
| 131 | 唐山昌源软件集团有限公司 |
| 138 | 上海创源餐饮管理实业有限公司 |
| 147 | 合肥晟百汽车系统科技有限公司 |
| 153 | 常州誉隆健康管理制造有限公司 |
| 164 | 唐山科轩测控集团有限公司 |
| 168 | 南京博冠连接器科技有限公司 |
| 175 | 中山博立生物科技实业有限公司 |
| 178 | 苏州昆仑半导体材料有限公司 |
| 189 | 泉州博立鞋业实业有限公司 |
| 193 | 南昌新翔鞋业股份有限公司 |
| 211 | 深圳汇顶指纹芯片有限公司 |
| 242 | 武汉曜顺汽车饰件制造有限公司 |
| 246 | 成都科远微电子实业有限公司 |
| 290 | 石家庄恒坤食品实业有限公司 |
| 294 | 上海隆博新材料集团有限公司 |

## 四、一句话总结

命中 3 家，其中 #292 南方筑路机械是最佳标的——同时覆盖骨料加工、混凝土搅拌和建筑垃圾资源化全产业链，与买家需求高度契合；#49 和 #84 分别精准对口骨料加工设备和建筑垃圾资源化装备两个方向。库中这两块业务的标的数量较少，存在明显缺口。另有 #109 大连博轩再生资源名称含"再生资源"但业务说明未录入，值得向标的方确认是否涉及建筑垃圾资源化领域。

{"hit":[292,49,84],"maybe":[169,105,74],"insufficient":[9,20,54,55,64,78,79,85,109,115,124,128,129,131,138,147,153,164,168,175,178,189,193,211,242,246,290,294],"checked":300}
