## 一、命中（按业务匹配强度从高到低）

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 94 | 宁波容百高镍材料股份有限公司 | 横向 | 生产 NCM811 及以上高镍三元正极材料，配套烧结与包覆工艺，直接供货国内外动力电池厂，与买家业务完全对口 | 用户未提具体条件 |
| 177 | 天津巴莫钴酸锂材料有限公司 | 横向 | 主营 NCM、NCA 三元材料与钴酸锂；三元材料车用体系正在导入验证阶段尚未规模出货，但技术路线直接对口 | 用户未提具体条件 |
| 296 | 贵州振华三元前驱体材料有限公司 | 纵向 | 生产镍钴锰氢氧化物前驱体，是三元正极材料的直接上游原料，覆盖 5/6/8 系高镍型号，已通过多家正极厂商认证批量供货 | 用户未提具体条件 |
| 234 | 广东邦普再生资源循环有限公司 | 纵向 | 从事退役动力电池回收与镍钴锂再生冶炼，湿法工艺锂综合回收率约 90%，再生材料可直接返供正极前驱体环节 | 用户未提具体条件 |
| 145 | 江西宜春锂云母矿业股份有限公司 | 纵向 | 锂云母采选及碳酸锂加工，产能 2.5 万吨/年，产品主要供应正极材料厂商，与两家头部电池企业签有长期承购协议 | 用户未提具体条件 |
| 66 | 青海盐湖锂业开发有限公司 | 纵向 | 以盐湖卤水为原料提锂，年产电池级碳酸锂 1.2 万吨，碳酸锂是三元正极材料的核心原料 | 用户未提具体条件 |

## 二、可能相关，但需要确认

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 116 | 湖南裕能新型正极材料有限公司 | 相邻 | 研发生产磷酸铁锂正极材料，与三元正极同属正极材料赛道，烧结与前驱体合成工艺有相通之处，但技术路线不同（LFP 而非 NCM/NCA），需确认买家是否愿意跨路线收购 | 用户未提具体条件 |

## 三、信息不足，无法判断

| 行号 | 标的名称 |
|---|---|
| 5 | 大连博轩再生资源股份公司 |
| 19 | 石家庄恒坤食品实业有限公司 |
| 40 | 唐山科轩测控集团有限公司 |
| 51 | 南京博冠连接器科技有限公司 |
| 54 | 东莞立轩化工股份有限公司 |
| 62 | 苏州源盛管业科技有限公司 |
| 73 | 常州新翔管业股份有限公司 |
| 82 | 广州源臻康复设备股份有限公司 |
| 89 | 深圳汇顶指纹芯片有限公司 |
| 98 | 南昌新翔鞋业股份有限公司 |
| 104 | 唐山昌源软件集团有限公司 |
| 105 | 长沙源嘉软件实业有限公司 |
| 138 | 苏州昆仑半导体材料有限公司 |
| 144 | 上海创源餐饮管理实业有限公司 |
| 147 | 中山博立生物科技实业有限公司 |
| 154 | 唐山泰宏教育信息有限公司 |
| 156 | 上海隆博新材料集团有限公司 |
| 166 | 泉州博立鞋业实业有限公司 |
| 194 | 武汉曜顺汽车饰件制造有限公司 |
| 197 | 天津创捷教育集团有限公司 |
| 222 | 合肥晟百汽车系统科技有限公司 |
| 225 | 株洲立创食品集团有限公司 |
| 241 | 常州誉隆健康管理制造有限公司 |
| 243 | 合肥谦联电子股份有限公司 |
| 250 | 成都科远微电子实业有限公司 |
| 251 | 惠州昱远气体股份有限公司 |
| 271 | 无锡华芯功率器件有限公司 |
| 290 | 郑州毅宏导航股份有限公司 |

## 四、一句话总结

命中 6 家：横向 2 家直接做三元正极材料（容百高镍已规模量产、巴莫三元车用体系仍在验证），纵向 4 家覆盖前驱体—电池回收—锂资源上游链条；可能相关 1 家为磷酸铁锂正极（同赛道不同路线）。库中三元正极材料直接标的偏少，但前驱体和上游锂资源方向有较好覆盖；电解液、隔膜、负极等锂电其他环节虽有标的，但与正极材料方向不直接对口，未纳入。

{"hit":[94,177,296,234,145,66],"maybe":[116],"insufficient":[5,19,40,51,54,62,73,82,89,98,104,105,138,144,147,154,156,166,194,197,222,225,241,243,250,251,271,290],"checked":300}
