## 一、命中（按业务匹配强度从高到低）

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 272 | 泉州锐科软件股份公司 | 横向 | 研发二维三维 CAD 内核与行业设计软件（几何内核自主可控），同时面向离散制造提供 MES 与高级排产系统，CAD+MES 双产品线均为自有工业软件，知识产权明确 | 营收 3.89 亿 / 净利 5841 万 / 未上市 |
| 114 | 宝鸡冠鑫软件有限公司 | 横向 | 研发二维三维 CAD 内核与行业设计软件，几何内核自主可控，已在多个行业形成专业版本，是核心工业软件产品 | 营收 1.37 亿 / 净利未录 ⚠️ / 未上市 |
| 213 | 武汉臻锐工业软件实业有限公司 | 横向 | 面向离散制造提供 MES 与高级排产系统，支持与主流 ERP 及设备层协议对接，在汽车零部件与电子组装行业有成熟模板；同时运营企业级低代码平台，均为自有软件产品 | 营收未录 ⚠️ / 净利未录 ⚠️ / 未上市 |
| 227 | 株洲坤博工业软件有限公司 | 横向 | 面向离散制造提供 MES 与高级排产系统，在汽车零部件与电子组装行业有成熟模板，支持与主流 ERP 及设备层协议对接；同时运营企业级低代码平台 | 营收 5.58 亿 / 净利 -4465 万 / 未上市 |
| 256 | 株洲越创工业软件股份有限公司 | 横向 | 面向离散制造提供 MES 与高级排产系统，在汽车零部件与电子组装行业有成熟模板，支持与主流 ERP 及设备层协议对接，为自有工业软件产品 | 营收未录 ⚠️ / 净利未录 ⚠️ / 已上市 |

## 二、可能相关，但需要确认

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 73 | 北京旷视 AI 质检科技有限公司 | 相邻 | 提供产线表面缺陷检测算法与边缘一体机，有自有产品和工艺模型库，面向 3C、锂电、汽车零部件产线；偏工业 AI 质检，需确认买家是否将其纳入"工业软件"范畴 | 营收 2.1 亿 / 净利 -3200 万 / 未上市 |
| 179 | 杭州海康机器视觉技术有限公司 | 相邻 | 提供机器视觉相机、镜头与算法平台，硬件与算法一体交付，支持二次开发；算法平台可视为工业软件相邻领域，但产品以硬件为主 | 营收 19.5 亿 / 净利 2.4 亿 / 已上市 |
| 146 | 唐山昌源软件集团有限公司 | 待确认 | 标签登记"工业软件、锂电设备"，但业务说明未录入，无法判断是否有自有软件产品和知识产权 | 营收 6.29 亿 / 净利 5031 万 / 未上市 |

## 三、信息不足，无法判断

| 行号 | 标的名称 |
|---|---|
| 4 | 苏州昆仑半导体材料有限公司 |
| 12 | 唐山泰宏教育信息有限公司 |
| 32 | 苏州源盛管业科技有限公司 |
| 45 | 唐山科轩测控集团有限公司 |
| 53 | 常州新翔管业股份有限公司 |
| 54 | 南京博冠连接器科技有限公司 |
| 57 | 长沙源嘉软件实业有限公司 |
| 63 | 武汉曜顺汽车饰件制造有限公司 |
| 74 | 上海隆博新材料集团有限公司 |
| 80 | 上海创源餐饮管理实业有限公司 |
| 107 | 合肥晟百汽车系统科技有限公司 |
| 112 | 合肥谦联电子股份有限公司 |
| 116 | 中山博立生物科技实业有限公司 |
| 125 | 东莞立轩化工股份有限公司 |
| 126 | 南昌新翔鞋业股份有限公司 |
| 138 | 深圳汇顶指纹芯片有限公司 |
| 155 | 常州誉隆健康管理制造有限公司 |
| 162 | 泉州博立鞋业实业有限公司 |
| 172 | 大连博轩再生资源股份公司 |
| 198 | 郑州毅宏导航股份有限公司 |
| 200 | 石家庄恒坤食品实业有限公司 |
| 207 | 株洲立创食品集团有限公司 |
| 210 | 惠州昱远气体股份有限公司 |
| 222 | 无锡华芯功率器件有限公司 |
| 253 | 广州源臻康复设备股份有限公司 |
| 270 | 天津创捷教育集团有限公司 |
| 283 | 成都科远微电子实业有限公司 |

## 四、一句话总结

命中 5 家，集中在 CAD 设计软件和 MES 制造执行系统两个方向，均有自有产品和知识产权；另有 2 家标签写"工业软件"但正文实为电子元器件贸易（行 97）和软件开发人力外包（行 182），已排除。库里在 CAE 仿真、EDA、PLM 等其他工业软件细分方向存在明显缺口。

{"hit":[272,114,213,227,256],"maybe":[73,179,146],"insufficient":[4,12,32,45,53,54,57,63,74,80,107,112,116,125,126,138,155,162,172,198,200,207,210,222,253,270,283],"checked":300}
