## 一、命中（按业务匹配强度从高到低）

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 169 | 江苏派瑞碱性电解槽有限公司 | 横向 | 业务说明明确"生产碱性水电解制氢设备，单槽产氢规模达 1000 标方/小时"，并提供制氢系统集成与工程总包，PEM 路线也在研发验证中，产品线最完整。 | 营收 9.6 亿 ✅ / 净利 7200 万 / 已上市 |
| 84 | 四川亚联氢能科技有限公司 | 横向 | 业务说明明确"生产碱性电解槽与撬装式制氢系统"，服务化工与冶金行业绿氢替代项目，直接对口。 | 营收 8.8 亿 ✅ / 净利 5600 万 / 未上市 |
| 49 | 北京中电丰业制氢装备股份有限公司 | 横向 | 业务说明明确"研发制造碱性电解水制氢装置及配套纯化系统，具备工程总包能力"，与买家需求高度一致。 | 营收 6.2 亿 ✅ / 净利 4100 万 / 已上市 |
| 292 | 内蒙古绿氢能源装备有限公司 | 横向 | 业务说明明确"从事碱性电解槽制造与风光耦合制氢系统集成"，直接对口碱性电解槽方向，但财务数据未录入。 | 营收未录 ⚠️ / 净利未录 ⚠️ / 拟上市 |
| 105 | 河北华光氢能装备有限公司 | 横向 | 业务说明明确"生产小型碱性电解槽与配套气体纯化装置"，产品方向对口但规模偏小（"小型"），客户以区域工业气体用户为主。 | 营收 1.2 亿 ❌ / 净利 600 万 / 未上市 |

## 二、可能相关，但需要确认

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 285 | 山东赛克赛斯电解制氢有限公司 | 相邻 | 业务说明为"PEM 质子交换膜电解槽及小型制氢设备"，同属制氢设备领域但技术路线为 PEM 而非碱性，买家若对技术路线持开放态度可关注。 | 营收 3.1 亿 ❌ / 净利 1900 万 / 未上市 |

## 三、信息不足，无法判断

| 行号 | 标的名称 |
|---|---|
| 10 | 成都科远微电子实业有限公司 |
| 19 | 长沙源嘉软件实业有限公司 |
| 46 | 株洲立创食品集团有限公司 |
| 51 | 无锡华芯功率器件有限公司 |
| 64 | 广州源臻康复设备股份有限公司 |
| 78 | 常州新翔管业股份有限公司 |
| 79 | 唐山泰宏教育信息有限公司 |
| 82 | 南京博冠连接器科技有限公司 |
| 115 | 苏州源盛管业科技有限公司 |
| 118 | 上海创源餐饮管理实业有限公司 |
| 131 | 唐山昌源软件集团有限公司 |
| 141 | 苏州昆仑半导体材料有限公司 |
| 144 | 合肥谦联电子股份有限公司 |
| 147 | 合肥晟百汽车系统科技有限公司 |
| 152 | 天津创捷教育集团有限公司 |
| 157 | 郑州毅宏导航股份有限公司 |
| 164 | 唐山科轩测控集团有限公司 |
| 168 | 大连博轩再生资源股份公司 |
| 186 | 泉州博立鞋业实业有限公司 |
| 191 | 中山博立生物科技实业有限公司 |
| 193 | 南昌新翔鞋业股份有限公司 |
| 208 | 常州誉隆健康管理制造有限公司 |
| 211 | 深圳汇顶指纹芯片有限公司 |
| 241 | 惠州昱远气体股份有限公司 |
| 251 | 武汉曜顺汽车饰件制造有限公司 |
| 259 | 东莞立轩化工股份有限公司 |
| 290 | 石家庄恒坤食品实业有限公司 |
| 294 | 上海隆博新材料集团有限公司 |

## 四、一句话总结

命中 5 家，全部为碱性电解槽/制氢设备的横向匹配，其中 3 家营收在 5 亿以上（派瑞 9.6 亿、亚联 8.8 亿、中电丰业 6.2 亿），1 家财务数据未录（内蒙古绿氢），1 家营收偏小（河北华光 1.2 亿）。另有一家 PEM 路线制氢设备标的（赛克赛斯）作为相邻方向备选。库内碱性电解槽方向标的数量有限但质量集中，无明显缺口。

{"hit":[169,84,49,292,105],"maybe":[285],"insufficient":[10,19,46,51,64,78,79,82,115,118,131,141,144,147,152,157,164,168,186,191,193,208,211,241,251,259,290,294],"checked":300}
