## 一、命中（按业务匹配强度从高到低）

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 49 | 北京中电丰业制氢装备股份有限公司 | 横向 | 业务说明明确"研发制造碱性电解水制氢装置及配套纯化系统，具备工程总包能力"，与买家需求直接对口 | 已上市 ✅ |
| 169 | 江苏派瑞碱性电解槽有限公司 | 横向 | 业务说明明确"生产碱性水电解制氢设备，单槽产氢规模达 1000 标方/小时，并提供制氢系统集成与工程总包服务"，PEM 路线在研 | 已上市 ✅ |

> **因上市状态硬条件排除 4 家（业务对口但非已上市）：**
> - 第 84 行 四川亚联氢能科技有限公司（未上市）——生产碱性电解槽与撬装式制氢系统
> - 第 105 行 河北华光氢能装备有限公司（未上市）——生产小型碱性电解槽与配套气体纯化装置
> - 第 285 行 山东赛克赛斯电解制氢有限公司（未上市）——主营 PEM 质子交换膜电解槽及小型制氢设备（技术路线为 PEM，非碱性，但同属制氢设备方向）
> - 第 292 行 内蒙古绿氢能源装备有限公司（拟上市）——从事碱性电解槽制造与风光耦合制氢系统集成

## 二、可能相关，但需要确认

无。在已上市公司中，除上述两家直接命中外，未发现业务说明涉及制氢设备、电解槽或氢能产业链上下游的标的。

## 三、信息不足，无法判断

| 行号 | 标的名称 |
|---|---|
| 10 | 成都科远微电子实业有限公司 |
| 19 | 长沙源嘉软件实业有限公司 |
| 46 | 株洲立创食品集团有限公司 |
| 51 | 无锡华芯功率器件有限公司 |
| 64 | 广州源臻康复设备股份有限公司 |
| 78 | 常州新翔管业股份有限公司 |
| 79 | 唐山泰宏教育信息有限公司 |
| 82 | 南京博冠连接器科技有限公司 |
| 115 | 苏州源盛管业科技有限公司 |
| 118 | 上海创源餐饮管理实业有限公司 |
| 131 | 唐山昌源软件集团有限公司 |
| 141 | 苏州昆仑半导体材料有限公司 |
| 144 | 合肥谦联电子股份有限公司 |
| 147 | 合肥晟百汽车系统科技有限公司 |
| 152 | 天津创捷教育集团有限公司 |
| 157 | 郑州毅宏导航股份有限公司 |
| 164 | 唐山科轩测控集团有限公司 |
| 168 | 大连博轩再生资源股份公司 |
| 186 | 泉州博立鞋业实业有限公司 |
| 191 | 中山博立生物科技实业有限公司 |
| 193 | 南昌新翔鞋业股份有限公司 |
| 208 | 常州誉隆健康管理制造有限公司 |
| 211 | 深圳汇顶指纹芯片有限公司 |
| 241 | 惠州昱远气体股份有限公司 |
| 251 | 武汉曜顺汽车饰件制造有限公司 |
| 259 | 东莞立轩化工股份有限公司 |
| 290 | 石家庄恒坤食品实业有限公司 |
| 294 | 上海隆博新材料集团有限公司 |

## 四、一句话总结

命中 2 家已上市公司，均直接从事碱性电解槽/制氢设备制造，业务高度对口；另有 4 家业务匹配但因未上市或拟上市被硬条件排除。库中制氢设备方向标的总量偏少（仅 6 家），已上市且对口的仅 2 家，存在明显缺口。

{"hit":[49,169],"maybe":[],"insufficient":[10,19,46,51,64,78,79,82,115,118,131,141,144,147,152,157,164,168,186,191,193,208,211,241,251,259,290,294],"checked":300}
