## 一、命中（按业务匹配强度从高到低）

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 105 | 上海韦尔图像传感器设计有限公司 | 横向 | 业务说明明确写"从事 CMOS 图像传感器设计"，Fabless 模式，产品覆盖手机、汽车与安防，车规级已通过 AEC-Q100 认证——与买家需求完全对口 | 用户未设定硬性条件 |
| 292 | 苏州东微高压功率器件有限公司 | 横向 | 业务说明写"设计超级结 MOSFET 与 IGBT 功率器件"，产品用于充电桩、光伏逆变与工业电源——功率器件设计方向直接命中 | 用户未设定硬性条件 |

## 二、可能相关，但需要确认

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 缺什么信息 |
|---|---|---|---|---|
| 49 | 无锡华芯功率器件有限公司 | 待确认 | 标签为"功率半导体"、公司名含"功率器件"，高度暗示功率器件方向，但业务说明未录入，无法确认是设计还是制造或封测 | 业务说明完全缺失，需确认是否做器件设计（Fabless/IDM）及具体产品品类 |
| 169 | 深圳汇顶指纹芯片有限公司 | 待确认 | 标签为"半导体设计"，公司名含"芯片"，存在设计能力，但业务说明未录入，无法确认是否涉及 CMOS 图像传感器或功率器件 | 业务说明完全缺失，需确认具体设计产品线是否覆盖图像传感器或功率器件 |

## 三、信息不足，无法判断

| 行号 | 标的名称 |
|---|---|
| 9 | 东莞立轩化工股份有限公司 |
| 20 | 长沙源嘉软件实业有限公司 |
| 44 | 合肥谦联电子股份有限公司 |
| 46 | 株洲立创食品集团有限公司 |
| 54 | 天津创捷教育集团有限公司 |
| 78 | 常州新翔管业股份有限公司 |
| 79 | 唐山泰宏教育信息有限公司 |
| 84 | 苏州昆仑半导体材料有限公司 |
| 96 | 成都科远微电子实业有限公司 |
| 104 | 广州源臻康复设备股份有限公司 |
| 109 | 大连博轩再生资源股份公司 |
| 115 | 苏州源盛管业科技有限公司 |
| 128 | 惠州昱远气体股份有限公司 |
| 129 | 郑州毅宏导航股份有限公司 |
| 131 | 唐山昌源软件集团有限公司 |
| 138 | 上海创源餐饮管理实业有限公司 |
| 147 | 合肥晟百汽车系统科技有限公司 |
| 153 | 常州誉隆健康管理制造有限公司 |
| 164 | 唐山科轩测控集团有限公司 |
| 168 | 南京博冠连接器科技有限公司 |
| 189 | 泉州博立鞋业实业有限公司 |
| 193 | 南昌新翔鞋业股份有限公司 |
| 198 | 中山博立生物科技实业有限公司 |
| 251 | 武汉曜顺汽车饰件制造有限公司 |
| 290 | 石家庄恒坤食品实业有限公司 |
| 294 | 上海隆博新材料集团有限公司 |

## 四、一句话总结

命中 2 家：行 105 精准对口 CMOS 图像传感器设计（Fabless），行 292 精准对口功率器件设计（超级结 MOSFET / IGBT），均为横向匹配且业务说明详实。另有 2 家（行 49、行 169）标签和名称强烈暗示半导体设计方向但业务说明缺失，值得优先补调。库中半导体方向标的以封测（行 13、51、143、202、282）和电子特气（行 33、60、108）为主，器件设计类标的明显稀缺。

{"hit":[105,292],"maybe":[49,169],"insufficient":[9,20,44,46,54,78,79,84,96,104,109,115,128,129,131,138,147,153,164,168,189,193,198,251,290,294],"checked":300}
