# 匹配结果

## 一、命中（按业务匹配强度从高到低）

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 169 | 苏州鼎智轻量化结构件有限公司 | 相邻 | 主营精密压铸与机加工结构件，早期为汽车零部件配套，**已将同一套高真空压铸工艺与模具开发能力迁移至工业机器人/协作机器人的臂体、关节壳体等轻量化结构件**，机器人业务收入占比近四成。具备压铸、热处理、机加与表面处理一体化产线——与买家"用压铸和模具能力切进别的赛道"的需求高度吻合。 | 用户未提具体条件 |
| 105 | 宁波美利信车身压铸有限公司 | 横向 | 从事汽车铝合金压铸结构件开发与制造，拥有2000T至6000T压铸机多台，具备一体化压铸工艺能力，**模具自主设计开发**，产品配套新能源车身结构件与三电壳体。与买家工艺完全一致，属同业横向整合。 | 用户未提具体条件 |
| 233 | 苏州亚德林轻合金有限公司 | 横向 | 生产汽车铝合金压铸件与精密加工件，配套新能源车三电壳体。与买家同为汽车铝合金压铸，工艺直接对口。注意：同名第84行为建筑铝模板业务，系不同标的。 | 用户未提具体条件 |
| 49 | 广东力劲压铸装备有限公司 | 纵向 | 制造大型冷室压铸机与周边自动化单元，单机锁模力覆盖800T至9000T。是买家所用压铸设备的上游装备供应商，纵向整合可增强工艺与装备协同。 | 用户未提具体条件 |
| 292 | 重庆旭升新能源结构件有限公司 | 相邻 | 生产铝合金挤压与精密加工结构件，覆盖电池托盘、防撞梁、副车架等品类。同为铝合金结构件制造，材料与下游客户相通，工艺从挤压可向压铸延伸互补。 | 用户未提具体条件 |
| 83 | 南通晟昱声学集团有限公司 | 相邻 | 第二门生意为消费电子精密结构件加工制造，CNC与冲压工艺并行，具备阳极氧化表面处理能力，**正在向新能源汽车结构件拓展**。买家可反向切入消费电子赛道，精密金属成型与表面处理工艺相通。 | 用户未提具体条件 |
| 213 | 太原翔创精密工业集团有限公司 | 相邻 | 从事消费电子精密结构件加工制造，CNC与冲压工艺并行，具备阳极氧化表面处理能力，正在向新能源汽车结构件拓展。工艺与买家压铸+机加产线互补，可助买家切入消费电子结构件赛道。 | 用户未提具体条件 |
| 148 | 唐山启臻声学有限公司 | 相邻 | 第二门生意为消费电子精密结构件，CNC与冲压工艺并行，具备阳极氧化表面处理能力，正在向新能源汽车结构件拓展。与第83行同类，工艺相通。 | 用户未提具体条件 |
| 251 | 深圳盛远精密工业科技有限公司 | 相邻 | 从事消费电子精密结构件加工制造，CNC与冲压工艺并行，具备阳极氧化表面处理能力。精密金属成型工艺与买家压铸+模具能力互补，可切入消费电子赛道。 | 用户未提具体条件 |
| 263 | 南昌昌臻声学制造有限公司 | 相邻 | 第二门生意为消费电子精密结构件，CNC与冲压工艺并行，具备阳极氧化表面处理能力，正在向新能源汽车结构件拓展。与上述几家同类。 | 用户未提具体条件 |
| 279 | 惠州谦百声学有限公司 | 相邻 | 第二门生意为消费电子精密结构件，CNC与冲压工艺并行，具备阳极氧化表面处理能力，正在向新能源汽车结构件拓展。同上。 | 用户未提具体条件 |

## 二、可能相关，但需要确认

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 缺什么信息 |
|---|---|---|---|---|
| 84 | 苏州亚德林轻合金有限公司 | 相邻 | 生产建筑铝合金模板与脚手架系统，同为铝合金结构件，材料相通但工艺为挤压/焊接而非压铸，工艺重叠度有限。 | 需确认是否有压铸或模具相关业务或产线 |
| 199 | 上海节卡协作机器人科技有限公司 | 相邻 | 研发协作机器人本体，买家可为其供应压铸结构件切入机器人赛道，但标的自身核心工艺为机器人设计与集成，非金属成型。 | 标的自身无压铸/模具工艺，属客户侧切入而非工艺相通，需确认买家是否接受此类路径 |
| 273 | 大连联恒充电科技制造有限公司 | 待确认 | 标签含"汽车压铸"，但业务说明仅描述充电桩与场站运营，标签与正文冲突。 | 需确认是否存在未披露的压铸业务 |
| 171 | 宁波盛能电池Pack集成有限公司 | 相邻 | 从事电池包结构件设计与Pack系统集成，具备CTP结构方案设计与验证能力。买家可为其供应压铸结构件，但标的自身以设计集成为主，非制造工艺。 | 需确认标的是否有自有结构件制造产线 |

## 三、信息不足，无法判断

| 行号 | 标的名称 |
|---|---|
| 9 | 东莞立轩化工股份有限公司 |
| 20 | 长沙源嘉软件实业有限公司 |
| 44 | 天津创捷教育集团有限公司 |
| 64 | 广州源臻康复设备股份有限公司 |
| 76 | 合肥谦联电子股份有限公司 |
| 78 | 常州新翔管业股份有限公司 |
| 79 | 唐山泰宏教育信息有限公司 |
| 89 | 成都科远微电子实业有限公司 |
| 93 | 武汉曜顺汽车饰件制造有限公司 |
| 109 | 大连博轩再生资源股份公司 |
| 114 | 株洲立创食品集团有限公司 |
| 115 | 苏州源盛管业科技有限公司 |
| 128 | 惠州昱远气体股份有限公司 |
| 131 | 唐山昌源软件集团有限公司 |
| 134 | 无锡华芯功率器件有限公司 |
| 138 | 上海创源餐饮管理实业有限公司 |
| 142 | 泉州博立鞋业实业有限公司 |
| 147 | 合肥晟百汽车系统科技有限公司 |
| 153 | 常州誉隆健康管理制造有限公司 |
| 164 | 唐山科轩测控集团有限公司 |
| 168 | 南京博冠连接器科技有限公司 |
| 178 | 苏州昆仑半导体材料有限公司 |
| 193 | 南昌新翔鞋业股份有限公司 |
| 198 | 中山博立生物科技实业有限公司 |
| 211 | 深圳汇顶指纹芯片有限公司 |
| 288 | 郑州毅宏导航股份有限公司 |
| 290 | 石家庄恒坤食品实业有限公司 |
| 294 | 上海隆博新材料集团有限公司 |

## 四、一句话总结

命中11家，主要集中在三个方向：**直接同工艺的汽车铝合金压铸同业**（105、233）、**已将压铸工艺迁移至机器人结构件的标的**（169，最契合买家"切赛道"诉求）、**消费电子精密结构件CNC/冲压企业**（83、148、213、251、263、279，工艺互补可反向切入3C赛道）。纵向还有压铸装备制造商（49）可供一体化整合。库里在"压铸工艺跨行业应用"方向标的偏少，除169外几乎没有其他已将压铸工艺迁移到非汽车赛道的成型案例，这是一个明显缺口。

{"hit":[169,105,233,49,292,83,213,148,251,263,279],"maybe":[84,199,273,171],"insufficient":[9,20,44,64,76,78,79,89,93,109,114,115,128,131,134,138,142,147,153,164,168,178,193,198,211,288,290,294],"checked":300}
