## 一、命中（按业务匹配强度从高到低）

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 129 | 福州顺嘉数据科技实业有限公司 | 横向 | 业务说明明确写"提供数据分类分级与脱敏产品""支持结构化与非结构化数据资产梳理"，直接覆盖数据治理与数据资产管理两大方向，服务金融与政务客户 | 用户未提具体条件 |
| 173 | 长春博冠数据科技制造有限公司 | 横向 | 业务说明与 129 高度一致："提供数据分类分级与脱敏产品""支持结构化与非结构化数据资产梳理"，同样服务金融、政务与运营商客户 | 用户未提具体条件 |

## 二、可能相关，但需要确认

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 缺什么信息 |
|---|---|---|---|---|
| 4 | 哈尔滨创盛信创实业有限公司 | 相邻 | （一）做国产化数据库中间件与适配服务，（二）运营企业级低代码平台，客户为党政与金融——处于数据基础设施层，与数据治理技术栈和客户群相通，但主营非数据治理/数据资产管理产品本身 | 需确认是否有数据治理、数据资产管理或大数据分析相关产品线或技术储备 |
| 45 | 石家庄创博信创股份公司 | 相邻 | 同上：国产化数据库中间件 + 低代码平台，服务信创替代项目，客户以党政与金融为主 | 同上 |
| 49 | 泉州晟瑞信创股份有限公司 | 相邻 | 同上：国产化数据库中间件 + 低代码平台，完成主流国产芯片与操作系统兼容认证 | 同上 |
| 147 | 南昌源捷信创实业有限公司 | 相邻 | 同上：国产化数据库中间件 + 低代码平台，客户为国企信息化部门 | 同上 |
| 167 | 芜湖晟谦信创股份公司 | 相邻 | 提供国产化数据库中间件与应用适配服务，服务信创替代项目，客户以党政与金融为主；未提及低代码或数据治理产品 | 需确认是否有数据治理或大数据分析相关产品线 |
| 183 | 大连盛创信创集团有限公司 | 相邻 | 提供国产化数据库中间件与应用适配服务，完成主流国产芯片与操作系统兼容认证，客户以党政与金融为主 | 同上 |

## 三、信息不足，无法判断

| 行号 | 标的名称 |
|---|---|
| 23 | 苏州昆仑半导体材料有限公司 |
| 27 | 石家庄恒坤食品实业有限公司 |
| 40 | 上海创源餐饮管理实业有限公司 |
| 75 | 上海隆博新材料集团有限公司 |
| 78 | 株洲立创食品集团有限公司 |
| 103 | 合肥谦联电子股份有限公司 |
| 107 | 东莞立轩化工股份有限公司 |
| 113 | 惠州昱远气体股份有限公司 |
| 118 | 武汉曜顺汽车饰件制造有限公司 |
| 119 | 郑州毅宏导航股份有限公司 |
| 137 | 泉州博立鞋业实业有限公司 |
| 139 | 南京博冠连接器科技有限公司 |
| 156 | 南昌新翔鞋业股份有限公司 |
| 158 | 成都科远微电子实业有限公司 |
| 168 | 天津创捷教育集团有限公司 |
| 172 | 唐山昌源软件集团有限公司 |
| 178 | 大连博轩再生资源股份公司 |
| 195 | 中山博立生物科技实业有限公司 |
| 201 | 唐山科轩测控集团有限公司 |
| 231 | 唐山泰宏教育信息有限公司 |
| 275 | 合肥晟百汽车系统科技有限公司 |
| 277 | 常州新翔管业股份有限公司 |
| 278 | 长沙源嘉软件实业有限公司 |
| 283 | 深圳汇顶指纹芯片有限公司 |
| 286 | 苏州源盛管业科技有限公司 |
| 290 | 常州誉隆健康管理制造有限公司 |
| 295 | 广州源臻康复设备股份有限公司 |
| 296 | 无锡华芯功率器件有限公司 |

## 四、一句话总结

命中 2 家，均聚焦数据分类分级、脱敏与数据资产梳理，业务方向与买家需求高度对口；另有 6 家信创数据库中间件/低代码公司处于数据基础设施相邻领域，值得确认是否有数据治理产品线。库中大数据分析平台方向的标的明显偏少，纯粹做数据治理或数据资产管理的标的仅 129、173 两家，缺口较为突出。另需注意：第 94 行"上海慧算大数据智能有限公司"名称含"大数据"，但业务说明明确标注当前主营为财税服务外包，名称为早期方向遗留，不属于命中。

{"hit":[129,173],"maybe":[4,45,49,147,167,183],"insufficient":[23,27,40,75,78,103,107,113,118,119,137,139,156,158,168,172,178,195,201,231,275,277,278,283,286,290,295,296],"checked":300}
