## 一、命中（按业务匹配强度从高到低）

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 84 | 上海洋紫光固化材料有限公司 | 纵向 | 研发生产 UV 光固化油墨及涂料，覆盖标签、软包装与金属装饰等细分应用，直接是包装印刷企业的上游油墨供应商 | 用户未提条件 |
| 169 | 浙江天女胶印油墨有限公司 | 纵向 | 长期从事胶印油墨研发生产销售，产品覆盖单张纸胶印油墨、轮转胶印油墨及配套助剂，在环保型大豆油墨方向有技术积累，产品直接应用于包装印刷领域 | 用户未提条件 |
| 105 | 苏州科创教育科技股份有限公司 | 纵向 | 第二门生意为油墨业务——专注高分子材料与改性植物油研发，应用于胶印油墨与 UV 油墨的生产销售，产品广泛应用于包装印刷领域，油墨收入占约三成五，参与多项油墨国标起草 | 用户未提条件 |
| 292 | 广东三雅水性油墨有限公司 | 纵向 | 生产水性柔印油墨与水性上光油，主要用于瓦楞纸箱与食品包装印刷，是包装印刷的上游油墨供应商，但细分方向为水性柔印 | 用户未提条件 |

## 二、可能相关，但需要确认

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 缺什么信息 |
|---|---|---|---|---|
| 3 | 无锡鑫新信息安全有限公司 | 待确认 | 标签含"光固化材料"，但业务说明仅描述工控安全业务，正文未提及任何光固化材料产品——需确认标签是否指向未披露的第二门生意 | 业务说明未覆盖光固化材料的具体产品与应用 |
| 114 | 深圳昱臻化工制造有限公司 | 相邻 | 第一门生意生产聚氨酯原液及组合料，聚氨酯树脂是油墨连接料的重要原料之一，但公司产品主要用于冷链保温、家电与建筑保温，需确认是否有油墨/印刷用聚氨酯产品线 | 需确认产品是否覆盖油墨连接料方向 |
| 161 | 广州博盛化工股份公司 | 相邻 | 同上，生产聚氨酯原液及组合料，配方按客户工况定制，但应用方向为保温、家电与汽车内饰，与油墨用聚氨酯树脂关联间接 | 需确认产品是否覆盖油墨/印刷材料方向 |

## 三、信息不足，无法判断

| 行号 | 标的名称 |
|---|---|
| 9 | 东莞立轩化工股份有限公司 |
| 11 | 唐山科轩测控集团有限公司 |
| 20 | 长沙源嘉软件实业有限公司 |
| 25 | 南昌新翔鞋业股份有限公司 |
| 52 | 唐山昌源软件集团有限公司 |
| 54 | 天津创捷教育集团有限公司 |
| 78 | 常州新翔管业股份有限公司 |
| 79 | 唐山泰宏教育信息有限公司 |
| 85 | 无锡华芯功率器件有限公司 |
| 104 | 广州源臻康复设备股份有限公司 |
| 109 | 大连博轩再生资源股份公司 |
| 115 | 苏州源盛管业科技有限公司 |
| 124 | 合肥谦联电子股份有限公司 |
| 129 | 郑州毅宏导航股份有限公司 |
| 147 | 合肥晟百汽车系统科技有限公司 |
| 168 | 南京博冠连接器科技有限公司 |
| 189 | 常州誉隆健康管理制造有限公司 |
| 191 | 中山博立生物科技实业有限公司 |
| 194 | 泉州博立鞋业实业有限公司 |
| 197 | 上海隆博新材料集团有限公司 |
| 246 | 成都科远微电子实业有限公司 |
| 248 | 深圳汇顶指纹芯片有限公司 |
| 250 | 株洲立创食品集团有限公司 |
| 272 | 武汉曜顺汽车饰件制造有限公司 |
| 285 | 惠州昱远气体股份有限公司 |
| 294 | 上海创源餐饮管理实业有限公司 |
| 296 | 石家庄恒坤食品实业有限公司 |
| 298 | 苏州昆仑半导体材料有限公司 |

## 四、一句话总结

命中 4 家，全部为纵向匹配（油墨制造→包装印刷），覆盖 UV 光固化油墨、胶印油墨、水性柔印油墨三个细分方向，其中行 105 的油墨业务藏在教育主业之下、需特别关注；库中油墨标的数量有限但质量集中，印刷材料（版材、橡皮布、润版液、薄膜基材等）方向存在明显缺口。

{"hit":[84,169,105,292],"maybe":[3,114,161],"insufficient":[9,11,20,25,52,54,78,79,85,104,109,115,124,129,147,168,189,191,194,197,246,248,250,272,285,294,296,298],"checked":300}
