**一、命中（按业务匹配强度从高到低）**

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 163 | 南京埃斯顿工业机器人有限公司 | 横向 | 摘要明确为六轴工业机器人本体及控制系统研发制造，直接对口机器人整机方向 | 上市状态：已上市 ✅ |
| 288 | 上海节卡协作机器人科技有限公司 | 横向 | 摘要明确为协作机器人本体与视觉集成，直接对口机器人整机方向 | 上市状态：未上市 ⚠️ |
| 95 | 深圳优必选教育机器人有限公司 | 横向 | 摘要明确为教育机器人与 STEAM 课程硬件，完美契合“机器人+智能教具”双方向 | 上市状态：未上市 ⚠️ |
| 41 | 成都川大智胜三维视觉有限公司 | 横向 | 摘要明确为三维视觉测量与人脸识别，属于典型的人工智能计算机视觉应用 | 上市状态：已上市 ✅ |
| 75 | 北京旷视 AI 质检科技有限公司 | 横向 | 摘要明确为表面缺陷检测算法与边缘一体机，属于工业场景的人工智能算法与硬件 | 上市状态：未上市 ⚠️ |
| 225 | 杭州海康机器视觉技术有限公司 | 横向 | 摘要明确为机器视觉相机、镜头与算法平台，属于人工智能底层感知技术 | 上市状态：未上市 ⚠️ |
| 54 | 东莞市童创智能积木有限公司 | 横向 | 摘要明确为儿童智能积木及配套 APP，直接对口智能教具方向 | 上市状态：未上市 ⚠️ |
| 188 | 广州小方编程教具科技有限公司 | 横向 | 摘要明确为面向 K12 的编程教育硬件教具（主控板、传感器套件与课程），直接对口智能教具 | 上市状态：未上市 ⚠️ |
| 96 | 四川昌盛康复设备实业有限公司 | 横向 | 摘要明确为康复训练机器人与理疗设备，属医疗康复细分领域的机器人方向 | 上市状态：已上市 ✅ |
| 174 | 安徽联嘉康复设备实业有限公司 | 横向 | 摘要明确为康复训练机器人与理疗设备，同上，属医疗康复细分机器人 | 上市状态：未上市 ⚠️ |
| 246 | 上海联华康复设备制造有限公司 | 横向 | 摘要明确为康复训练机器人与理疗设备，同上，属医疗康复细分机器人 | 上市状态：未上市 ⚠️ |
| 202 | 深圳市汇川伺服驱动有限公司 | 纵向 | 摘要明确为伺服系统与变频器，是工业机器人运动控制的核心执行部件，产业链高度协同 | 上市状态：已上市 ✅ |
| 281 | 苏州绿的谐波减速器有限公司 | 纵向 | 摘要明确为谐波减速器，系机器人关节核心传动部件，属机器人产业链上游关键标的 | 上市状态：已上市 ✅ |

**二、可能相关，但需要确认**

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 4 | 江苏联博工业软件集团有限公司 | 相邻 | 摘要为离散制造 MES 与排产系统，虽非直接做机器人或 AI，但常作为机器人产线调度与数字孪生的底层软件载体，可评估是否具备 AI 排产或机器人接口能力 | 上市状态：已上市 ✅ |

**三、信息不足，无法判断**

| 行号 | 标的名称 |
|---|---|
| 6 | 北京鑫恒萤石股份有限公司 |
| 14 | 浙江隆华植物蛋白股份有限公司 |
| 22 | 山东联瑞烘焙原料实业有限公司 |
| 33 | 河南立立高温合金实业有限公司 |
| 69 | 深圳汇顶指纹芯片有限公司 |
| 80 | 福建恒中汽车玻璃股份有限公司 |
| 104 | 江西锐泰市政设计科技有限公司 |
| 106 | 江西隆鑫赛事运营制造有限公司 |
| 110 | 上海鑫隆赛事运营集团有限公司 |
| 118 | 特变电工变压器分公司 |
| 122 | 上海源博植物蛋白集团有限公司 |
| 151 | 河南远新IVD 仪器科技有限公司 |
| 165 | 温州德盛机械有限公司 |
| 176 | 绍兴纺织印染有限公司 |
| 199 | 上海立盛智能门窗科技有限公司 |
| 201 | 江苏昌锐种业股份有限公司 |
| 242 | 北京泰源包装机械科技有限公司 |
| 250 | 东莞市宏图精密制造有限公司 |
| 276 | 陕西伟恒反无人机实业有限公司 |
| 278 | 北京远新反无人机制造有限公司 |
| 298 | 湖南恒瑞会展集团有限公司 |

**四、一句话总结**
命中 13 家标的，主要集中在工业机器人整机（埃斯顿、节卡）、教育机器人/智能教具（优必选、童创、小方）、AI 视觉与算法（川大智胜、旷视、海康）三大方向，并附带 2 家机器人核心零部件（汇川伺服、绿的谐波）纵向标的。库内对口的机器人、AI 及智能教具资产较为清晰，但缺乏纯大模型或通用 AI 平台型公司，若需补充算法算力或底层框架层标的，建议拓展外部渠道。

**五、最后单独输出一行 JSON**
{"hit":[163,288,95,41,75,225,54,188,96,174,246,202,281],"maybe":[4],"insufficient":[6,14,22,33,69,80,104,106,110,118,122,151,165,176,199,201,242,250,276,278,298],"checked":300}
