**一、命中（按业务匹配强度从高到低）**

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 163 | 南京埃斯顿工业机器人有限公司 | 横向 | 六轴工业机器人本体及控制系统研发制造，覆盖搬运、焊接、码垛场景，核心部件自研，在光伏与锂电产线有批量应用。 | 营收 32 亿 / 净利 2.6 亿 / 已上市（用户未设门槛） |
| 288 | 上海节卡协作机器人科技有限公司 | 横向 | 协作机器人本体与视觉集成，直接切入人机协作机器人赛道，技术路线与主流工业机器人高度一致。 | 营收 3.8 亿 / 净利 -1200 万 / 未上市（用户未设门槛） |
| 95 | 深圳优必选教育机器人有限公司 | 横向 | 教育机器人与 STEAM 课程硬件，精准对口智能教具与机器人交叉领域，软硬件一体化交付。 | 营收 3.4 亿 / 净利 -2100 万 / 未上市（用户未设门槛） |
| 188 | 广州小方编程教具科技有限公司 | 横向 | 面向 K12 的编程教育硬件教具，含图形化编程主控板、传感器套件与配套课程，完全匹配智能教具方向。 | 营收 8600 万 / 净利 1200 万 / 未上市（用户未设门槛） |
| 54 | 东莞市童创智能积木有限公司 | 横向 | 儿童智能积木及配套 APP，属于低龄段智能教具与启蒙硬件，契合智能教具需求。 | 营收 1.2 亿 / 净利 900 万 / 未上市（用户未设门槛） |
| 41 | 成都川大智胜三维视觉有限公司 | 横向 | 三维视觉测量与人脸识别，属于典型的人工智能计算机视觉技术落地，算法与硬件结合紧密。 | 营收 1.8 亿 / 净利 2200 万 / 已上市（用户未设门槛） |
| 75 | 北京旷视 AI 质检科技有限公司 | 横向 | 面向产线的表面缺陷检测算法与边缘一体机，支持小样本训练，属工业 AI 视觉方向。 | 营收 2.6 亿 / 净利 -4300 万 / 未上市（用户未设门槛） |
| 225 | 杭州海康机器视觉技术有限公司 | 横向 | 机器视觉相机、镜头与算法平台，为 AI 视觉提供底层硬件与算法支撑，技术同源。 | 营收 21 亿 / 净利 3.1 亿 / 未上市（用户未设门槛） |
| 202 | 深圳市汇川伺服驱动有限公司 | 纵向 | 伺服系统与变频器，工业自动化核心部件，下游明确覆盖机器人，是机器人运动控制的关键上游。 | 营收 86 亿 / 净利 9.5 亿 / 已上市（用户未设门槛） |
| 281 | 苏州绿的谐波减速器有限公司 | 纵向 | 谐波减速器，机器人关节核心部件，直接决定机器人精度与寿命，属强纵向配套。 | 营收 4.2 亿 / 净利 9800 万 / 已上市（用户未设门槛） |
| 96 | 四川昌盛康复设备实业有限公司 | 横向 | 康复训练机器人与理疗设备，属特种机器人分支，技术同源（电机控制、传感、机械结构）。 | 营收 18 亿 / 净利 -9000 万 / 已上市（用户未设门槛） |
| 174 | 安徽联嘉康复设备实业有限公司 | 横向 | 康复训练机器人与理疗设备，同上，具备海外供货经验与体系认证。 | 营收 68 亿 / 净利 10.88 亿 / 未上市（用户未设门槛） |
| 246 | 上海联华康复设备制造有限公司 | 横向 | 康复训练机器人与理疗设备，同上，毛利率表现较好。 | 营收 68 亿 / 净利 8.16 亿 / 未上市（用户未设门槛） |

**二、可能相关，但需要确认**（沾边、或摘要信息不够充分但值得看一眼的）

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 97 | 山东鑫盛智慧物流科技有限公司 | 相邻 | 仓储自动化设备与 WMS 系统集成，可能涉及 AGV/AMR 物流机器人，但摘要未明确提及机器人本体或 AI 调度算法，需确认具体产品形态。 | 营收 8.6 亿 / 净利 1.38 亿 / 已上市（用户未设门槛） |
| 153 | 辽宁联博智慧农业集团有限公司 | 相邻 | 农业物联网与植保无人机服务，无人机属广义机器人范畴，但聚焦农业植保，需确认是否具备通用人形/工业机器人或 AI 算法能力。 | 营收 1.2 亿 / 净利 120 万 / 未上市（用户未设门槛） |
| 259 | 广州汽车电子智能座舱有限公司 | 相邻 | 智能座舱域控制器集成语音、导航与 DMS，涉及 AI 语音与视觉交互技术，但主业为车规电子，需确认 AI 业务占比及是否可跨界至通用 AI 或教育场景。 | 营收 7.6 亿 / 净利 5100 万 / 未上市（用户未设门槛） |

**三、信息不足，无法判断**

| 行号 | 标的名称 |
|---|---|
| 6 | 北京鑫恒萤石股份有限公司 |
| 14 | 浙江隆华植物蛋白股份有限公司 |
| 22 | 山东联瑞烘焙原料实业有限公司 |
| 33 | 河南立立高温合金实业有限公司 |
| 69 | 深圳汇顶指纹芯片有限公司 |
| 80 | 福建恒中汽车玻璃股份有限公司 |
| 104 | 江西锐泰市政设计科技有限公司 |
| 106 | 江西隆鑫赛事运营制造有限公司 |
| 110 | 上海鑫隆赛事运营集团有限公司 |
| 118 | 特变电工变压器分公司 |
| 122 | 上海源博植物蛋白集团有限公司 |
| 151 | 河南远新IVD 仪器科技有限公司 |
| 165 | 温州德盛机械有限公司 |
| 176 | 绍兴纺织印染有限公司 |
| 199 | 上海立盛智能门窗科技有限公司 |
| 201 | 江苏昌锐种业股份有限公司 |
| 242 | 北京泰源包装机械科技有限公司 |
| 250 | 东莞市宏图精密制造有限公司 |
| 276 | 江苏伟恒反无人机实业有限公司 |
| 278 | 北京远新反无人机制造有限公司 |
| 298 | 湖南恒瑞会展集团有限公司 |

**四、一句话总结**
命中 13 家，主要集中在工业机器人本体、协作机器人、教育/编程智能教具以及 AI 机器视觉算法与硬件方向；同时挖掘出 2 家机器人核心零部件（伺服、减速器）纵向标的。库内机器人/AI/教具产业链相对完整，但缺乏明确的 AI 大模型或通用软件平台型标的，若需补齐上层算法生态，建议外部补充搜寻。

{"hit":[163,288,95,188,54,41,75,225,202,281,96,174,246],"maybe":[97,153,259],"insufficient":[6,14,22,33,69,80,104,106,110,118,122,151,165,176,199,201,242,250,276,278,298],"checked":300}
