**一、命中（按业务匹配强度从高到低）**

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 148 | 江苏联博工业软件集团有限公司 | 横向 | 提供面向离散制造的 MES 与排产系统，属于核心工业数字化软件，直接契合企业数字化转型与生产数据化管理需求。 | 上市状态：已上市 |
| 9 | 上海新盛信创中间件实业有限公司 | 纵向 | 主营国产化数据库中间件与应用适配服务，属于大数据底层架构、数据治理与跨系统集成的关键环节。 | 上市状态：未上市 |
| 143 | 江西鑫源低代码实业有限公司 | 横向 | 提供企业级低代码开发平台，主要服务国企信息化部门，可直接赋能业务系统快速搭建与数字化迭代。 | 上市状态：未上市 |
| 19 | 北京旷视 AI 质检科技有限公司 | 横向 | 专注产线表面缺陷检测算法与边缘计算一体机，支持小样本训练，属于典型的数据智能驱动型 AI 落地应用。 | 上市状态：未上市 |
| 13 | 杭州海康机器视觉技术有限公司 | 相邻 | 提供机器视觉相机、镜头与算法平台，技术底层与图像数据处理高度相通，可无缝延伸至工业数字化质检场景。 | 上市状态：未上市 |
| 47 | 山东鑫盛智慧物流科技有限公司 | 纵向 | 提供仓储自动化设备与 WMS 系统集成，WMS 是物流供应链数字化管理的核心软件系统，收后可补齐数字化调度能力。 | 上市状态：已上市 |
| 6 | 辽宁联博智慧农业集团有限公司 | 相邻 | 开展农业物联网与植保无人机服务，通过传感器网络与数据采集实现农业生产过程的数字化监控与管理。 | 上市状态：未上市 |
| 3 | 山东源隆工控安全股份有限公司 | 纵向 | 提供工业控制系统安全防护与审计设备，是保障工业互联网、PLC 及数字化系统稳定运行的关键基础设施。 | 上市状态：未上市 |
| 129 | 辽宁立隆工控安全集团有限公司 | 纵向 | 同属工控安全与审计设备，产品形态与客户群体与 #3 高度一致，可作为产能补充或区域差异化布局。 | 上市状态：拟上市 |
| 147 | 苏州安控电池管理系统有限公司 | 相邻 | 研发动力电池 BMS 硬件与算法，涉及海量电池运行数据的实时采集、均衡策略分析与云端 OTA 升级，数据逻辑相通。 | 上市状态：未上市 |

**二、可能相关，但需要确认**（沾边、或摘要信息不够充分但值得看一眼的）

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 49 | 上海慧算大数据智能有限公司 | 需澄清 | 名称含“大数据”，但摘要明确主营为中小企业代理记账与财税 SaaS，实际为财税外包服务，需确认是否包含真实的大数据/AI 分析业务模块。 | 上市状态：未上市 |
| 83 | 江西嘉泰飞控股份有限公司 | 相邻 | 主营无人机飞控与云控系统，兼容多型号机体，涉及飞行数据链路与云端调度，但偏硬件与控制协议，需确认软件算法占比及数据服务能力。 | 上市状态：未上市 |
| 109 | 湖北新嘉测控实业有限公司 | 纵向 | 提供靶场测控设备与数据处理系统，具备军工级数据采发能力，但应用场景高度垂直于国防军工，需评估民用数字化转化空间与技术复用性。 | 上市状态：未上市 |

**三、信息不足，无法判断**

| 行号 | 标的名称 |
|---|---|
| 4 | 山东联瑞烘焙原料实业有限公司 |
| 24 | 河南立立高温合金实业有限公司 |
| 43 | 江苏伟恒反无人机实业有限公司 |
| 56 | 北京远新反无人机制造有限公司 |
| 92 | 江西锐泰市政设计科技有限公司 |
| 97 | 河南远新IVD 仪器科技有限公司 |
| 108 | 东莞市宏图精密制造有限公司 |
| 114 | 上海鑫隆赛事运营集团有限公司 |
| 122 | 福建恒中汽车玻璃股份有限公司 |
| 123 | 湖南恒瑞会展集团有限公司 |
| 130 | 北京泰源包装机械科技有限公司 |
| 131 | 特变电工变压器分公司 |
| 140 | 江苏昌锐种业股份有限公司 |
| 144 | 温州德盛机械有限公司 |
| 159 | 北京鑫恒萤石股份有限公司 |
| 196 | 上海源博植物蛋白集团有限公司 |

**四、一句话总结**
命中 10 家，主要集中在工业软件（MES/低代码）、数据库中间件、AI 算法与边缘计算、以及工控安全等数字化核心环节；库中缺乏纯云计算、SaaS PaaS 平台及消费级大数据运营类标的，若需拓宽生态可关注上述已命中企业的上下游延伸机会。

{"hit":[148,9,143,19,13,47,6,3,129,147],"maybe":[49,83,109],"insufficient":[4,24,43,56,92,97,108,114,122,123,130,131,140,144,159,196],"checked":200}
