**一、命中（按业务匹配强度从高到低）**

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 273 | 杭州海康机器视觉技术有限公司 | 横向 | 提供机器视觉相机、镜头与算法平台，属 AI 视觉感知与数字化检测核心供应商。 | 营收 21亿 / 净利 3.1亿 / 未上市（用户未设门槛，仅标原始数据） |
| 44 | 重庆隆伟CAD集团有限公司 | 横向 | 自研二维三维 CAD 内核及行业设计软件，属于核心工业软件与数字化研发工具。 | 营收 3.4亿 / 净利 2720万 / 未上市 |
| 278 | 重庆源新CAD股份有限公司 | 横向 | 自研二维三维 CAD 内核与行业设计软件，产能利用率饱和，属工业软件数字化赛道。 | 营收 1.2亿 / 净利 360万 / 已上市 |
| 241 | 江苏联博工业软件集团有限公司 | 横向 | 面向离散制造提供 MES（制造执行系统）与排产系统，是典型的工厂数字化核心软件。 | 营收 4.8亿 / 净利 -2400万 / 已上市 |
| 127 | 山东鑫盛智慧物流科技有限公司 | 横向 | 提供仓储自动化设备与 WMS（仓储管理系统）系统集成，属物流数字化与供应链软件方向。 | 营收 8.6亿 / 净利 1.38亿 / 已上市 |
| 255 | 重庆鑫联智慧物流实业有限公司 | 横向 | 提供仓储自动化设备与 WMS 系统集成，与行 127 业务高度重合，属物流数字化方向。 | 营收 18亿 / 净利 9000万 / 未上市 |
| 84 | 上海新盛信创中间件实业有限公司 | 横向 | 提供国产化数据库中间件与应用适配服务，是企业级数字化底座与基础软件标的。 | 营收 8900万 / 净利 1424万 / 未上市 |
| 153 | 江西鑫源低代码实业有限公司 | 横向 | 提供企业级低代码开发平台，主要客户为国企信息化部门，直接赋能业务数字化快速搭建。 | 营收 3200万 / 净利 32万 / 未上市 |
| 9 | 安徽嘉恒数据安全科技有限公司 | 横向 | 提供数据分类分级与脱敏产品，直接对应数据治理与安全合规需求，服务金融政务客户。 | 营收 3200万 / 净利 384万 / 拟上市 |
| 177 | 上海慧算大数据智能有限公司 | 横向 | 实际主营为中小企业代理记账与财税 SaaS，虽名含大数据但实质为财务数字化云服务。 | 营收 8600万 / 净利 1200万 / 未上市 |
| 81 | 北京旷视 AI 质检科技有限公司 | 横向 | 提供产线表面缺陷检测算法与边缘计算一体机，支持小样本训练，属 AI 视觉与数字化质检方向。 | 营收 2.6亿 / 净利 -4300万 / 未上市 |
| 119 | 成都川大智胜三维视觉有限公司 | 横向 | 提供三维视觉测量与人脸识别技术，属于 AI 计算机视觉与数字化识别领域。 | 营收 1.8亿 / 净利 2200万 / 已上市 |
| 87 | 辽宁立隆工控安全集团有限公司 | 相邻 | 专注工业控制系统安全防护与审计设备，保障工厂数字化生产环境的安全合规。 | 营收 8900万 / 净利 712万 / 拟上市 |
| 204 | 福建恒远工控安全科技有限公司 | 相邻 | 工业控制系统安全防护与审计设备，创始团队技术背景强，保障工业数字化安全。 | 营收 6.2亿 / 净利 4960万 / 未上市 |
| 270 | 山东源隆工控安全股份有限公司 | 相邻 | 工业控制系统安全防护与审计设备，具备海外供货经验，契合工业数字化安全需求。 | 营收 1.8亿 / 净利 540万 / 未上市 |

**二、可能相关，但需要确认**（沾边、或摘要信息不够充分但值得看一眼的）

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 28 | 广州汽车电子智能座舱有限公司 | 相邻 | 智能座舱域控制器集成语音、导航与 DMS 软件，偏车载软硬件集成，需确认是否具备独立数据中台或 OTA 远程升级能力。 | 营收 7.6亿 / 净利 5100万 / 未上市 |
| 8 | 辽宁联博智慧农业集团有限公司 | 相邻 | 农业物联网与植保无人机服务，偏农业 IoT 硬件与作业服务，需确认底层数据采集、清洗与分析平台能力。 | 营收 1.2亿 / 净利 120万 / 未上市 |
| 64 | 苏州安控电池管理系统有限公司 | 纵向/相邻 | 动力电池 BMS 硬件与算法，主控芯片已完成国产替代验证，属能源数字化管控环节，需确认算法模型是否可复用于储能或其他场景。 | 营收 2.1亿 / 净利 3100万 / 未上市 |
| 129 | 武汉智能燃气表制造有限公司 | 相邻 | 物联网智能燃气表，属公用事业数字化终端，需确认是否配套云端数据监测、负荷预测与大数据分析平台。 | 营收 9800万 / 净利 120万 / 未上市 |

**三、信息不足，无法判断**

| 行号 | 标的名称 |
|---|---|
| 19 | 江苏昌锐种业股份有限公司 |
| 58 | 江西隆鑫赛事运营制造有限公司 |
| 80 | 江西锐泰市政设计科技有限公司 |
| 92 | 深圳汇顶指纹芯片有限公司 |
| 99 | 福建恒中汽车玻璃股份有限公司 |
| 100 | 绍兴纺织印染有限公司 |
| 125 | 特变电工变压器分公司 |
| 135 | 温州德盛机械有限公司 |
| 138 | 北京鑫恒萤石股份有限公司 |
| 157 | 北京远新反无人机制造有限公司 |
| 164 | 上海源博植物蛋白集团有限公司 |
| 174 | 汕头玩具制造有限公司 |
| 193 | 河南远新IVD 仪器科技有限公司 |
| 203 | 江苏伟恒反无人机实业有限公司 |
| 206 | 山东联瑞烘焙原料实业有限公司 |
| 212 | 北京泰源包装机械科技有限公司 |
| 217 | 东莞市宏图精密制造有限公司 |
| 244 | 湖南恒瑞会展集团有限公司 |
| 260 | 浙江隆华植物蛋白股份有限公司 |
| 275 | 上海鑫隆赛事运营集团有限公司 |
| 280 | 上海立盛智能门窗科技有限公司 |
| 300 | 河南立立高温合金实业有限公司 |

**四、一句话总结**
本次共命中 15 家业务真正对口的标的，主要集中在**工业软件（CAD/MES）、AI 视觉与算法平台、数据治理与安全、低代码/SaaS 以及物流数字化（WMS）**四大方向；另有 4 家偏 IoT 硬件或车载集成的标的需进一步确认其软件与数据中台能力；库里数字化/大数据方向的标的储备较为充足，无明显结构性缺口。

**五、JSON**
{"hit":[273,44,278,241,127,255,84,153,9,177,81,119,87,204,270],"maybe":[28,8,64,129],"insufficient":[19,58,80,92,99,100,125,135,138,157,164,174,193,203,206,212,217,244,260,275,280,300],"checked":300}
