**一、命中（按业务匹配强度从高到低）**

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 104 | 重庆源博氢能科技有限公司 | 纵向（上游）/ 相邻 | 摘要明确为“碱性电解槽与制氢系统集成”。虽不直接制造燃料电池电堆，但属于氢能产业链核心上游设备商，可为船用氢燃料电池提供绿氢供应或产线协同，收后可快速补齐买方在氢能生态中的燃料制备环节。 | 用户未设门槛，库内数据：营收 12 亿 / 净利 6000 万 / 已上市 |
| 187 | 辽宁隆立氢能制造有限公司 | 纵向（上游）/ 相邻 | 同属“碱性电解槽与制氢系统集成”企业，且在建产能预计明年投产，具备规模化供氢能力。与买方在氢能供应链上高度互补，可作为船用氢动力项目的燃料保障或技术交叉验证平台。 | 用户未设门槛，库内数据：营收 18 亿 / 净利 2.16 亿 / 未上市 |

**二、可能相关，但需要确认**

（本库内经逐条排查，无其他在船舶动力、燃料电池电堆、双极板、膜电极或船用系统集成方面沾边的标的，此项为空。）

**三、信息不足，无法判断**

| 行号 | 标的名称 |
|---|---|
| 4 | 江西锐泰市政设计科技有限公司 |
| 6 | 温州德盛机械有限公司 |
| 10 | 深圳汇顶指纹芯片有限公司 |
| 34 | 北京泰源包装机械科技有限公司 |
| 58 | 北京鑫恒萤石股份有限公司 |
| 60 | 东莞市宏图精密制造有限公司 |
| 102 | 上海源博植物蛋白集团有限公司 |
| 113 | 湖南恒瑞会展集团有限公司 |
| 121 | 河南立立高温合金实业有限公司 |
| 125 | 上海鑫隆赛事运营集团有限公司 |
| 127 | 绍兴纺织印染有限公司 |
| 155 | 福建恒中汽车玻璃股份有限公司 |
| 156 | 北京远新反无人机制造有限公司 |
| 164 | 特变电工变压器分公司 |
| 184 | 山东联瑞烘焙原料实业有限公司 |

**四、一句话总结**：命中 2 家，均集中在氢能产业链上游（制氢系统集成），无直接从事船用氢燃料电池本体、电堆或动力包集成的横向标的；库内在船舶专用动力、燃料电池核心材料及系统集成方向存在明显缺口。

{"hit":[104,187],"maybe":[],"insufficient":[4,6,10,34,58,60,102,113,121,125,127,155,156,164,184],"checked":200}
