## 一、命中（按业务匹配强度从高到低）

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 163 | 南京埃斯顿工业机器人有限公司 | 横向 | 六轴工业机器人本体及控制系统研发制造，核心部件伺服与控制器自研，在光伏与锂电产线有批量应用 | 用户未提具体条件 |
| 288 | 上海节卡协作机器人科技有限公司 | 横向 | 协作机器人本体与视觉集成，直接命中机器人方向 | 用户未提具体条件 |
| 95 | 深圳优必选教育机器人有限公司 | 横向 | 教育机器人与STEAM课程硬件，同时命中机器人与智能教具两个方向 | 用户未提具体条件 |
| 75 | 北京旷视 AI 质检科技有限公司 | 横向 | 面向3C、锂电、汽车零部件产线的表面缺陷检测算法与边缘一体机，支持小样本训练，已在三十余条产线部署 | 用户未提具体条件 |
| 225 | 杭州海康机器视觉技术有限公司 | 横向 | 机器视觉相机、镜头与算法平台，直接命中人工智能方向 | 用户未提具体条件 |
| 41 | 成都川大智胜三维视觉有限公司 | 横向 | 三维视觉测量与人脸识别，AI视觉算法落地场景明确 | 用户未提具体条件 |
| 188 | 广州小方编程教具科技有限公司 | 横向 | 面向K12的编程教育硬件教具，含图形化编程主控板、传感器套件与配套课程，直接命中智能教具方向 | 用户未提具体条件 |
| 54 | 东莞市童创智能积木有限公司 | 横向 | 儿童智能积木及配套APP，智能教具方向 | 用户未提具体条件 |
| 281 | 苏州绿的谐波减速器有限公司 | 纵向 | 谐波减速器，机器人关节核心部件，是机器人产业链上游关键环节 | 用户未提具体条件 |
| 202 | 深圳市汇川伺服驱动有限公司 | 纵向 | 伺服系统与变频器，工业自动化核心部件，摘要明确下游覆盖机器人 | 用户未提具体条件 |
| 96 | 四川昌盛康复设备实业有限公司 | 横向 | 康复训练机器人与理疗设备，医疗机器人方向 | 用户未提具体条件 |
| 174 | 安徽联昌康复设备实业有限公司 | 横向 | 康复训练机器人与理疗设备，医疗机器人方向 | 用户未提具体条件 |
| 246 | 上海联华康复设备制造有限公司 | 横向 | 康复训练机器人与理疗设备，医疗机器人方向 | 用户未提具体条件 |

## 二、可能相关，但需要确认

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 缺什么信息 |
|---|---|---|---|---|
| 97 | 山东鑫盛智慧物流科技有限公司 | 相邻 | 仓储自动化设备与WMS系统集成，可能涉及AGV等仓储机器人，但摘要未明确自研机器人产品占比 | 需确认是否有自研机器人本体或核心模块 |
| 173 | 重庆鑫联智慧物流实业有限公司 | 相邻 | 同上，仓储自动化设备与WMS系统集成 | 需确认是否有自研机器人产品 |
| 135 | 上海韦尔 CMOS 图像传感器有限公司 | 纵向 | CMOS图像传感器设计，覆盖手机、汽车与安防，是机器视觉上游核心器件 | 需确认是否有面向机器视觉/机器人的专用产品线 |
| 259 | 广州汽车电子智能座舱有限公司 | 相邻 | 智能座舱域控制器集成语音、导航与DMS，含AI元素但主方向为汽车电子 | 与用户目标领域方向有差距，需确认是否有独立AI产品线 |

## 三、信息不足，无法判断

| 行号 | 标的名称 |
|---|---|
| 6 | 北京鑫恒萤石股份有限公司 |
| 14 | 浙江隆华植物蛋白股份有限公司 |
| 22 | 山东联瑞烘焙原料实业有限公司 |
| 33 | 河南立立高温合金实业有限公司 |
| 69 | 深圳汇顶指纹芯片有限公司 |
| 80 | 福建恒中汽车玻璃股份有限公司 |
| 104 | 江西锐泰市政设计科技有限公司 |
| 106 | 江西隆鑫赛事运营制造有限公司 |
| 110 | 上海鑫隆赛事运营集团有限公司 |
| 118 | 特变电工变压器分公司 |
| 151 | 河南远新IVD仪器科技有限公司 |
| 165 | 温州德盛机械有限公司 |
| 176 | 绍兴纺织印染有限公司 |
| 199 | 上海立盛智能门窗科技有限公司 |
| 201 | 江苏昌锐种业股份有限公司 |
| 242 | 北京泰源包装机械科技有限公司 |
| 250 | 东莞市宏图精密制造有限公司 |
| 276 | 江苏伟恒反无人机实业有限公司 |
| 278 | 北京远新反无人机制造有限公司 |
| 298 | 湖南恒瑞会展集团有限公司 |

## 四、一句话总结

命中13家，主要集中在三个方向：工业/协作/教育机器人本体（埃斯顿、节卡、优必选）、AI视觉与工业AI质检（海康机器视觉、旷视质检、川大智胜）、智能教具（小方编程教具、童创积木），另有谐波减速器与伺服系统两家机器人核心部件供应商作为纵向匹配；康复机器人有三家同业标的可供横向整合。库里在"机器人+AI+教具"方向覆盖较全，但纯AI算法/大模型方向的标的偏少，更多是AI在工业场景的落地应用。

{"hit":[163,288,95,75,225,41,188,54,281,202,96,174,246],"maybe":[97,173,135,259],"insufficient":[6,14,22,33,69,80,104,106,110,118,151,165,176,199,201,242,250,276,278,298],"checked":300}
