**一、命中（按业务匹配强度从高到低）**

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 条件核对 |
|---|---|---|---|---|
| 163 | 南京埃斯顿工业机器人有限公司 | 横向 | 六轴工业机器人本体及控制系统研发制造，覆盖搬运、焊接、码垛场景，核心部件伺服与控制器自研 | 无硬性条件 |
| 288 | 上海节卡协作机器人科技有限公司 | 横向 | 协作机器人本体与视觉集成 | 无硬性条件 |
| 95 | 深圳优必选教育机器人有限公司 | 横向 | 教育机器人与 STEAM 课程硬件，同时覆盖机器人与智能教具方向 | 无硬性条件 |
| 188 | 广州小方编程教具科技有限公司 | 横向 | 面向 K12 的编程教育硬件教具，含图形化编程主控板、传感器套件与配套课程 | 无硬性条件 |
| 75 | 北京旷视 AI 质检科技有限公司 | 横向 | 面向产线的表面缺陷检测算法与边缘一体机，支持小样本训练 | 无硬性条件 |
| 225 | 杭州海康机器视觉技术有限公司 | 横向 | 机器视觉相机、镜头与算法平台，属人工智能视觉方向 | 无硬性条件 |
| 41 | 成都川大智胜三维视觉有限公司 | 横向 | 三维视觉测量与人脸识别，属人工智能视觉方向 | 无硬性条件 |
| 96 | 四川昌盛康复设备实业有限公司 | 横向 | 康复训练机器人与理疗设备，属机器人细分应用 | 无硬性条件 |
| 174 | 安徽联昌康复设备实业有限公司 | 横向 | 康复训练机器人与理疗设备，属机器人细分应用 | 无硬性条件 |
| 246 | 上海联华康复设备制造有限公司 | 横向 | 康复训练机器人与理疗设备，属机器人细分应用 | 无硬性条件 |
| 281 | 苏州绿的谐波减速器有限公司 | 纵向 | 谐波减速器，机器人关节核心部件，属机器人上游 | 无硬性条件 |
| 202 | 深圳市汇川伺服驱动有限公司 | 纵向 | 伺服系统与变频器，工业自动化核心部件，下游覆盖机器人 | 无硬性条件 |

**二、可能相关，但需要确认**

| 行号 | 标的名称 | 匹配类型 | 一句话理由 | 缺什么信息 |
|---|---|---|---|---|
| 54 | 东莞市童创智能积木有限公司 | 相邻 | 儿童智能积木及配套 APP，可能属于智能教具 | 摘要未明确是否含编程或科创教育属性，需确认产品形态 |

**三、信息不足，无法判断**

| 行号 | 标的名称 |
|---|---|
| 6 | 北京鑫恒萤石股份有限公司 |
| 14 | 浙江隆华植物蛋白股份有限公司 |
| 22 | 山东联瑞烘焙原料实业有限公司 |
| 33 | 河南立立高温合金实业有限公司 |
| 69 | 深圳汇顶指纹芯片有限公司 |
| 80 | 福建恒中汽车玻璃股份有限公司 |
| 104 | 江西锐泰市政设计科技有限公司 |
| 106 | 江西隆鑫赛事运营制造有限公司 |
| 110 | 上海鑫隆赛事运营集团有限公司 |
| 118 | 特变电工变压器分公司 |
| 122 | 上海源博植物蛋白集团有限公司 |
| 151 | 河南远新IVD 仪器科技有限公司 |
| 165 | 温州德盛机械有限公司 |
| 176 | 绍兴纺织印染有限公司 |
| 199 | 上海立盛智能门窗科技有限公司 |
| 201 | 江苏昌锐种业股份有限公司 |
| 242 | 北京泰源包装机械科技有限公司 |
| 250 | 东莞市宏图精密制造有限公司 |
| 276 | 江苏伟恒反无人机实业有限公司 |
| 278 | 北京远新反无人机制造有限公司 |
| 298 | 湖南恒瑞会展集团有限公司 |

**四、一句话总结**
命中 12 家，主要集中在机器人本体、机器人核心部件（减速器、伺服）、AI视觉算法及智能教具方向。库里有较多康复训练机器人标的（3家），但缺乏人形机器人或服务机器人标的；智能教具方向标的较少。

{"hit":[163,288,95,188,75,225,41,96,174,246,281,202],"maybe":[54],"insufficient":[6,14,22,33,69,80,104,106,110,118,122,151,165,176,199,201,242,250,276,278,298],"checked":300}
