一级行业,二级行业,别名,状态
居民服务,,,启用
居民服务,殡葬服务,,启用
能源,,,启用
能源,储能,,启用
能源,光伏,,启用
能源,动力电池,,启用
能源,发电,,启用
能源,售电,,启用
能源,新能源,,启用
能源,新能源制造,,启用
能源,核电,,启用
能源,氢能,,启用
能源,煤炭,,启用
能源,电力,,启用
能源,电力工程,,启用
能源,电池,,启用
能源,电网,,启用
能源,石油石化,,启用
能源,综合能源服务,,启用
能源,风电,,启用
金融,,,启用
金融,交易所,,启用
金融,保险,金融（保险）,启用
金融,控股平台,投融资平台（其他)、投融资平台（文旅投）,启用
金融,期货,,启用
金融,证券,,启用
金融,金融科技,,启用
金融,银行,,启用
信息技术与通信,,信息技术（其他）,启用
信息技术与通信,PCB,,启用
信息技术与通信,云计算,,启用
信息技术与通信,互联网,,启用
信息技术与通信,互联网服务,,启用
信息技术与通信,人工智能,,启用
信息技术与通信,光电子,,启用
信息技术与通信,光通信,,启用
信息技术与通信,北斗,,启用
信息技术与通信,北斗与卫星应用,,启用
信息技术与通信,半导体,,启用
信息技术与通信,半导体与集成电路,,启用
信息技术与通信,卫星应用,,启用
信息技术与通信,大数据,,启用
信息技术与通信,工业互联网,,启用
信息技术与通信,智慧城市,,启用
信息技术与通信,电子,信息技术（产品制造）,启用
信息技术与通信,电子元件,,启用
信息技术与通信,算力与数据中心,,启用
信息技术与通信,网络安全,,启用
信息技术与通信,芯片,,启用
信息技术与通信,软件,,启用
信息技术与通信,软件与信息化服务,信息技术（软件数据与信息化服务）,启用
信息技术与通信,运营商,,启用
信息技术与通信,通信,,启用
信息技术与通信,通信设备,,启用
信息技术与通信,集成电路,,启用
房地产与建筑,,,启用
房地产与建筑,产业园区,,启用
房地产与建筑,家居建材,家居/建材,启用
房地产与建筑,建材,,启用
房地产与建筑,建材家居,,启用
房地产与建筑,建筑施工,工程（建筑施工）,启用
房地产与建筑,房地产,,启用
房地产与建筑,物业管理,,启用
房地产与建筑,装饰装修,工程（工业工程与装饰装修）,启用
房地产与建筑,设计监理与工程咨询,,启用
交通与物流,,,启用
交通与物流,交通基础设施,,启用
交通与物流,仓储,,启用
交通与物流,公路,,启用
交通与物流,出行服务,,启用
交通与物流,机场,,启用
交通与物流,水运,,启用
交通与物流,港口,,启用
交通与物流,物流仓储,物流（仓储）,启用
交通与物流,物流运输,,启用
交通与物流,航空运输,交通运输（航空）,启用
交通与物流,轨道交通,,启用
交通与物流,铁路,,启用
文化与传媒,,,启用
文化与传媒,会展,文化旅游（会展）,启用
文化与传媒,体育,,启用
文化与传媒,体育演艺与内容制作,,启用
文化与传媒,出版,,启用
文化与传媒,广告传媒,,启用
文化与传媒,广电,,启用
文化与传媒,文化旅游,,启用
文化与传媒,文旅,,启用
文化与传媒,旅游,文化旅游（旅游）,启用
文化与传媒,酒店,,启用
制造与工业,,企业（制造业）,启用
制造与工业,低空经济,,启用
制造与工业,化工,,启用
制造与工业,印刷包装,印刷和记录媒介复制业,启用
制造与工业,家电电器,家电/电器,启用
制造与工业,整车制造,汽车（整车制造）,启用
制造与工业,新材料,,启用
制造与工业,无人机,,启用
制造与工业,有色金属,有色金属及矿业（冶炼与加工）,启用
制造与工业,有色金属压铸,,启用
制造与工业,有色金属及矿业,,启用
制造与工业,机器人,,启用
制造与工业,检测服务,检测行业,启用
制造与工业,橡胶塑料,,启用
制造与工业,汽车,,启用
制造与工业,汽车销售与服务,,启用
制造与工业,汽车零部件,汽车（零部件）、汽车车身零部件,启用
制造与工业,测量测绘,,启用
制造与工业,海洋装备,,启用
制造与工业,电气机械,电气机械和器材制造业,启用
制造与工业,电线电缆,,启用
制造与工业,矿业,,启用
制造与工业,精细化工,,启用
制造与工业,纺织,,启用
制造与工业,纺织业,,启用
制造与工业,航空航天,,启用
制造与工业,装备制造,装备与仪器制造、通用设备制造业、主轴,启用
制造与工业,采掘与矿业,有色金属及矿业（采掘）,启用
制造与工业,采矿业,,启用
制造与工业,钢铁,钢铁（冶炼与加工）,启用
制造与工业,高端装备,高端制造,启用
商贸与消费,,,启用
商贸与消费,休闲食品,,启用
商贸与消费,农产品加工,,启用
商贸与消费,批发,,启用
商贸与消费,日化美妆,,启用
商贸与消费,服装鞋帽,快速消费品（服装鞋帽）,启用
商贸与消费,珠宝奢侈品,,启用
商贸与消费,电商,,启用
商贸与消费,盐业,,启用
