一级行业,二级行业,别名,状态
信息技术与通信,,信息技术（其他）,启用
信息技术与通信,PCB,,启用
信息技术与通信,云计算,,启用
信息技术与通信,互联网,,启用
信息技术与通信,互联网服务,,启用
信息技术与通信,人工智能,,启用
信息技术与通信,光电子,,启用
信息技术与通信,光通信,,启用
信息技术与通信,北斗,,启用
信息技术与通信,北斗与卫星应用,,启用
信息技术与通信,半导体,,启用
信息技术与通信,半导体与集成电路,,启用
信息技术与通信,卫星应用,,启用
信息技术与通信,大数据,,启用
信息技术与通信,工业互联网,,启用
信息技术与通信,智慧城市,,启用
信息技术与通信,电子,信息技术（产品制造）,启用
信息技术与通信,电子元件,,启用
信息技术与通信,算力与数据中心,,启用
信息技术与通信,网络安全,,启用
信息技术与通信,芯片,,启用
信息技术与通信,软件,,启用
信息技术与通信,软件与信息化服务,信息技术（软件数据与信息化服务）,启用
信息技术与通信,运营商,,启用
信息技术与通信,通信,,启用
信息技术与通信,通信设备,,启用
信息技术与通信,集成电路,,启用
房地产与建筑,,,启用
房地产与建筑,产业园区,,启用
房地产与建筑,家居建材,家居/建材,启用
房地产与建筑,建材,,启用
房地产与建筑,建材家居,,启用
房地产与建筑,建筑施工,工程（建筑施工）,启用
房地产与建筑,房地产,,启用
房地产与建筑,物业管理,,启用
房地产与建筑,装饰装修,工程（工业工程与装饰装修）,启用
房地产与建筑,设计监理与工程咨询,,启用
交通与物流,,,启用
交通与物流,交通基础设施,,启用
交通与物流,仓储,,启用
交通与物流,公路,,启用
交通与物流,出行服务,,启用
交通与物流,机场,,启用
交通与物流,水运,,启用
交通与物流,港口,,启用
交通与物流,物流仓储,物流（仓储）,启用
交通与物流,物流运输,,启用
交通与物流,航空运输,交通运输（航空）,启用
交通与物流,轨道交通,,启用
交通与物流,铁路,,启用
